source	source_version	role	status	provenance	selected_type	repository_full_name	commit_sha	tree_sha	dsc_sha256
gooroom-client-server-register	1.1.1+han3u1	reuse-all	resolved	github-exact-commit	git	hancom-io/gooroom-client-server-register	a474ca61b38c16e841bcfcf10caa4437f1dfd37e	acaa957e544af01d396144fbdd066f380f9d419d	
gooroom-dockbarx	1.3.0+grm3u3	reuse-all	resolved	github-exact-commit	git	gooroom/gooroom-dockbarx	30c8db06001137852e6ea5b6b926711a4f9f5109	12b0945e3bd672cb616ace06391dcb8a3a62fec8	
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	rebuild-arm64	resolved	verified-reconstructed-source	reconstructed-git-tree	gooroom/gooroom-dockbarx-applet	9485507dcb027b1d146c5d3edf7a0f15fa13e558	818db768fd755a5060266d05b4afe5e746a16da7	
gooroom-greeter	0.3.1+grm3u1+han3u2	rebuild-arm64	resolved	verified-reconstructed-source	reconstructed-git-tree	hancom-io/gooroom-greeter	886f8b6c5cd35117fd5a2d31896e4f9818400960	007aea315dd41a4ca878589957ba10baa71353b8	
gooroom-guide	0.5.3+grm3u1+han3u1	rebuild-arm64	resolved	verified-reconstructed-source	reconstructed-git-tree	hancomgooroom/gooroom-guide	c788c29119d43bb97c554973f6dabbc41a9abe79	0c6c4f0700784a99f9c325473ccf45778699d93d	
gooroom-icon-themes	1.3.6+grm3u1+han3u2	reuse-all	unresolved-exact-source						
gooroom-indicator-applet	0.3.0+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/gooroom-indicator-applet	cb5092080b8fbe48effd990e60084e938aa0b306	dae79af224f437e6ed12e9690b7d2a7f7f46292e	
gooroom-info	3.3.0+grm3u1	reuse-all	resolved	github-exact-commit	git	gooroom/gooroom-info	ee417b75cfe8a442f4876591ce0ca3814f595bc2	c0d97f030de5d86080ac67ed3210eb6f80b018b7	
gooroom-integration-applet	0.3.1+grm3u1+han3u3	rebuild-arm64	unresolved-exact-source						
gooroom-libsecurity-extensions	0.1.7+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/gooroom-libsecurity-extensions	4990bab95ae1dcaa29f38836da83edfa0969ed73	e1dce97d3cd69331047c01940b2593a0eaf2307a	
gooroom-logout	0.3.0+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/gooroom-logout	28dcdee1a4297eaa5c3403a6b5630d3c23250379	fd614ae882300afbb5e91206547a21642a59807c	
gooroom-notice-applet	0.3.4+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/gooroom-notice-applet	3109138327c56be9b704c3efb6b4fdb305de5dfe	1b7737d55f83af87ea607e6ae989a98368348d83	
gooroom-notifyd	0.5.0+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/gooroom-notifyd	c7e5fc76cc0928361f1b2cb0e69baf9e14bc0f6f	f4bc0f6f19f0ac51091eaf2abde590003447d4e7	
gooroom-resource-access-control	1.4.9+grm3u1	reuse-all	resolved	github-exact-commit	git	gooroom/gooroom-resource-access-control	c67a5d3a3bc80ef66a81829a8e593e2fdfcabc55	e9cea2d045d86b44fd6e2205a9cbca89e4cb0c3f	
gooroom-security-status-tools	0.3.9+grm3u1	rebuild-arm64	resolved	github-exact-commit	git	gooroom/gooroom-security-status-tools	e0617321d1d0ee9db078c44b5da8265b511cc77c	083237804297c06e1f7dcec02436c226ca75f1ec	
