reference_package	reference_version	reference_architecture	source	source_version	target_package	target_architecture	disposition	match_reason	candidate_version	candidate_sha256	repository_filename
libavahi-common-data	0.8-5+deb11u2	amd64	avahi	0.8-5+deb11u2	libavahi-common-data	arm64	native-arm64	exact-binary-and-source-version	0.8-5+deb11u2	991381ded01c02e436cacd018625327f2b9b017c672d9caa002b797c2616cf2d	991381ded01c02e436cacd018625327f2b9b017c672d9caa002b797c2616cf2d-libavahi-common-data_0.8-5+deb11u2_arm64.deb
libavahi-common3	0.8-5+deb11u2	amd64	avahi	0.8-5+deb11u2	libavahi-common3	arm64	native-arm64	exact-binary-and-source-version	0.8-5+deb11u2	29fd90570bb26836f3fc2446a1f6db174599196d3e3ae60db70137cd75d3691b	29fd90570bb26836f3fc2446a1f6db174599196d3e3ae60db70137cd75d3691b-libavahi-common3_0.8-5+deb11u2_arm64.deb
libavahi-glib1	0.8-5+deb11u2	amd64	avahi	0.8-5+deb11u2	libavahi-glib1	arm64	native-arm64	exact-binary-and-source-version	0.8-5+deb11u2	fbb36fe3c0dc2ae29136c3b3a8c871fb283e12fbaa5e9466f1f2fe73168a5bca	fbb36fe3c0dc2ae29136c3b3a8c871fb283e12fbaa5e9466f1f2fe73168a5bca-libavahi-glib1_0.8-5+deb11u2_arm64.deb
libavc1394-0	0.5.4-5	amd64	libavc1394	0.5.4-5	libavc1394-0	arm64	native-arm64	exact-binary-and-source-version	0.5.4-5	5a6ad45da10d69ca6ca7757882fe696ace8af98fccac781697ef280ea13e770f	5a6ad45da10d69ca6ca7757882fe696ace8af98fccac781697ef280ea13e770f-libavc1394-0_0.5.4-5_arm64.deb
libavcodec58	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	libavcodec58	arm64	native-arm64	exact-binary-and-source-version	7:4.3.6-0+deb11u1	6c871af6658e7f54851696103b8dfe8260d7490f9968acde64f64b089d015d1d	6c871af6658e7f54851696103b8dfe8260d7490f9968acde64f64b089d015d1d-libavcodec58_7%3a4.3.6-0+deb11u1_arm64.deb
libavdevice58	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	libavdevice58	arm64	native-arm64	exact-binary-and-source-version	7:4.3.6-0+deb11u1	a69c51c95c96871ad6d15e62ece1e6c73e43a1ce4596af30462a8bdfc947e113	a69c51c95c96871ad6d15e62ece1e6c73e43a1ce4596af30462a8bdfc947e113-libavdevice58_7%3a4.3.6-0+deb11u1_arm64.deb
libavfilter7	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	libavfilter7	arm64	native-arm64	exact-binary-and-source-version	7:4.3.6-0+deb11u1	c5258587b9ca7a0fb8f345282e2a6f4f86f8df630e306e2b2ca6df332db63d63	c5258587b9ca7a0fb8f345282e2a6f4f86f8df630e306e2b2ca6df332db63d63-libavfilter7_7%3a4.3.6-0+deb11u1_arm64.deb
libavformat58	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	libavformat58	arm64	native-arm64	exact-binary-and-source-version	7:4.3.6-0+deb11u1	7823c0448a4c35d30a0941cea2e7d7e09119d8d832041ff488dbfbc1e0c8c723	7823c0448a4c35d30a0941cea2e7d7e09119d8d832041ff488dbfbc1e0c8c723-libavformat58_7%3a4.3.6-0+deb11u1_arm64.deb
libavresample4	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	libavresample4	arm64	native-arm64	exact-binary-and-source-version	7:4.3.6-0+deb11u1	a2f4d92ad4ffbb845f30c02fd8d652c0911a7911fb9280612d1abc5576fcc1c9	a2f4d92ad4ffbb845f30c02fd8d652c0911a7911fb9280612d1abc5576fcc1c9-libavresample4_7%3a4.3.6-0+deb11u1_arm64.deb
libavutil56	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	libavutil56	arm64	native-arm64	exact-binary-and-source-version	7:4.3.6-0+deb11u1	3f91737318b393d57fb7bbe3882c6ba64d788da3fc44cff0064cc2a894e7d677	3f91737318b393d57fb7bbe3882c6ba64d788da3fc44cff0064cc2a894e7d677-libavutil56_7%3a4.3.6-0+deb11u1_arm64.deb
libayatana-appindicator3-1	0.5.5-2+deb11u2	amd64	libayatana-appindicator	0.5.5-2+deb11u2	libayatana-appindicator3-1	arm64	native-arm64	exact-binary-and-source-version	0.5.5-2+deb11u2	570ed200e4951dd22fc92ad09b05bd5d252ac1249b58a35a6efe0d57535be2f6	570ed200e4951dd22fc92ad09b05bd5d252ac1249b58a35a6efe0d57535be2f6-libayatana-appindicator3-1_0.5.5-2+deb11u2_arm64.deb
libayatana-ido3-0.4-0	0.8.2-1	amd64	ayatana-ido	0.8.2-1	libayatana-ido3-0.4-0	arm64	native-arm64	exact-binary-and-source-version	0.8.2-1	6410353d9723462fe12cad3d881ca5709f3681088c302a08661095ca862cc1ce	6410353d9723462fe12cad3d881ca5709f3681088c302a08661095ca862cc1ce-libayatana-ido3-0.4-0_0.8.2-1_arm64.deb
libayatana-indicator3-7	0.8.4-1+deb11u2	amd64	libayatana-indicator	0.8.4-1+deb11u2	libayatana-indicator3-7	arm64	native-arm64	exact-binary-and-source-version	0.8.4-1+deb11u2	5c54d825644821580fecb3ad2c26373df4832efd5fea4396420ccbe8eb25fb8f	5c54d825644821580fecb3ad2c26373df4832efd5fea4396420ccbe8eb25fb8f-libayatana-indicator3-7_0.8.4-1+deb11u2_arm64.deb
libb64-0d	1.2-5+b1	amd64	libb64	1.2-5	libb64-0d	arm64	native-arm64	exact-binary-and-source-version	1.2-5+b1	87746c59b3d0fc4d9bb1fbe2422c50396ced52b406cfe7c2f34761d2ba0b721b	87746c59b3d0fc4d9bb1fbe2422c50396ced52b406cfe7c2f34761d2ba0b721b-libb64-0d_1.2-5+b1_arm64.deb
libbinutils	2.35.2-2	amd64	binutils	2.35.2-2	libbinutils	arm64	native-arm64	exact-binary-and-source-version	2.35.2-2	7305a9bb576a975ec0fdc69688dec98a3c102c2026d5ad18bb014e93f1b076aa	7305a9bb576a975ec0fdc69688dec98a3c102c2026d5ad18bb014e93f1b076aa-libbinutils_2.35.2-2_arm64.deb
libblas3	3.9.0-3	amd64	lapack	3.9.0-3	libblas3	arm64	native-arm64	exact-binary-and-source-version	3.9.0-3	99806c4a490d55ae1ba50640460a2f62c491a8920af4e804560849fc5fe9d73f	99806c4a490d55ae1ba50640460a2f62c491a8920af4e804560849fc5fe9d73f-libblas3_3.9.0-3_arm64.deb
libblkid1	2.36.1-8+deb11u1	amd64	util-linux	2.36.1-8+deb11u1	libblkid1	arm64	native-arm64	exact-binary-and-source-version	2.36.1-8+deb11u1	f6daca6d84eab01e281bf59d7c06f55125b8af443da936afdd255fa32f939928	f6daca6d84eab01e281bf59d7c06f55125b8af443da936afdd255fa32f939928-libblkid1_2.36.1-8+deb11u1_arm64.deb
libblockdev-crypto2	2.25-2	amd64	libblockdev	2.25-2	libblockdev-crypto2	arm64	native-arm64	exact-binary-and-source-version	2.25-2	9430bcce1cf6c8bd50d1a7731d0dddbc385043aa149dd0a326aa5e85d5894466	9430bcce1cf6c8bd50d1a7731d0dddbc385043aa149dd0a326aa5e85d5894466-libblockdev-crypto2_2.25-2_arm64.deb
libblockdev-fs2	2.25-2	amd64	libblockdev	2.25-2	libblockdev-fs2	arm64	native-arm64	exact-binary-and-source-version	2.25-2	ac093888d15028696f6fb78ea082d09d5ee7ff9f9929f99cf208ea9769fadc6e	ac093888d15028696f6fb78ea082d09d5ee7ff9f9929f99cf208ea9769fadc6e-libblockdev-fs2_2.25-2_arm64.deb
libblockdev-loop2	2.25-2	amd64	libblockdev	2.25-2	libblockdev-loop2	arm64	native-arm64	exact-binary-and-source-version	2.25-2	7825fd1c4e3083116cb9abdec0111b7d87f99d75163ff985ea4ecbb06750776b	7825fd1c4e3083116cb9abdec0111b7d87f99d75163ff985ea4ecbb06750776b-libblockdev-loop2_2.25-2_arm64.deb
libblockdev-mdraid2	2.25-2	amd64	libblockdev	2.25-2	libblockdev-mdraid2	arm64	native-arm64	exact-binary-and-source-version	2.25-2	8cd7e28d2ddbc9ae4db2a824280c8aba480c1058df9d63983c022f8f0e68a4f5	8cd7e28d2ddbc9ae4db2a824280c8aba480c1058df9d63983c022f8f0e68a4f5-libblockdev-mdraid2_2.25-2_arm64.deb
libblockdev-part-err2	2.25-2	amd64	libblockdev	2.25-2	libblockdev-part-err2	arm64	native-arm64	exact-binary-and-source-version	2.25-2	382dce3fa8d45bd2ee98fb3bb9b45b7b7675b68f6328583a54e522e50b73bc74	382dce3fa8d45bd2ee98fb3bb9b45b7b7675b68f6328583a54e522e50b73bc74-libblockdev-part-err2_2.25-2_arm64.deb
libblockdev-part2	2.25-2	amd64	libblockdev	2.25-2	libblockdev-part2	arm64	native-arm64	exact-binary-and-source-version	2.25-2	25b1d8df04c644408efedb629c836b9fd62b815a668f2290dc09d2896ac31ff1	25b1d8df04c644408efedb629c836b9fd62b815a668f2290dc09d2896ac31ff1-libblockdev-part2_2.25-2_arm64.deb
libblockdev-swap2	2.25-2	amd64	libblockdev	2.25-2	libblockdev-swap2	arm64	native-arm64	exact-binary-and-source-version	2.25-2	9a45528b0cc10a584edbbe92f282358e1246723db07f4c4ab87a770a7fd316db	9a45528b0cc10a584edbbe92f282358e1246723db07f4c4ab87a770a7fd316db-libblockdev-swap2_2.25-2_arm64.deb
libblockdev-utils2	2.25-2	amd64	libblockdev	2.25-2	libblockdev-utils2	arm64	native-arm64	exact-binary-and-source-version	2.25-2	74c1bafce295390b00d198db2c5ede5b2bcf4c9745221ef540e38d99c201b416	74c1bafce295390b00d198db2c5ede5b2bcf4c9745221ef540e38d99c201b416-libblockdev-utils2_2.25-2_arm64.deb
libblockdev2	2.25-2	amd64	libblockdev	2.25-2	libblockdev2	arm64	native-arm64	exact-binary-and-source-version	2.25-2	421375f717ad60532f02c17b1f3b861f017620cb42e3c635d1e7147ef3f0588a	421375f717ad60532f02c17b1f3b861f017620cb42e3c635d1e7147ef3f0588a-libblockdev2_2.25-2_arm64.deb
libbluetooth3	5.55-3.1	amd64	bluez	5.55-3.1	libbluetooth3	arm64	native-arm64	exact-binary-and-source-version	5.55-3.1	8d9bc6f4c55553f566d18d936113888b220d2e0b8e42ea6489d734fa36e1143a	8d9bc6f4c55553f566d18d936113888b220d2e0b8e42ea6489d734fa36e1143a-libbluetooth3_5.55-3.1_arm64.deb
libbluray2	1:1.2.1-4+deb11u2	amd64	libbluray	1:1.2.1-4+deb11u2	libbluray2	arm64	native-arm64	exact-binary-and-source-version	1:1.2.1-4+deb11u2	4a34bb357ed168115d117dbd52af17f912d02e0a84f1a7380447883dc2d2ef9c	4a34bb357ed168115d117dbd52af17f912d02e0a84f1a7380447883dc2d2ef9c-libbluray2_1%3a1.2.1-4+deb11u2_arm64.deb
libboost-iostreams1.74.0	1.74.0-9	amd64	boost1.74	1.74.0-9	libboost-iostreams1.74.0	arm64	native-arm64	exact-binary-and-source-version	1.74.0-9	9f477afd92d0dc004d51279a52d6c92f9785457d84f36504988d00ef6eeabf3f	9f477afd92d0dc004d51279a52d6c92f9785457d84f36504988d00ef6eeabf3f-libboost-iostreams1.74.0_1.74.0-9_arm64.deb
libbpf0	1:0.3-2	amd64	libbpf	0.3-2	libbpf0	arm64	native-arm64	exact-binary-and-source-version	1:0.3-2	1ef325a3bd9e43970cd8e7f9f44b13e36bc935ac496e56d96f715aa69ae7281b	1ef325a3bd9e43970cd8e7f9f44b13e36bc935ac496e56d96f715aa69ae7281b-libbpf0_1%3a0.3-2_arm64.deb
libbrotli1	1.0.9-2+b2	amd64	brotli	1.0.9-2	libbrotli1	arm64	native-arm64	exact-binary-and-source-version	1.0.9-2+b2	52ca7f90de6cb6576a0a5cf5712fc4ae7344b79c44b8a1548087fd5d92bf1f64	52ca7f90de6cb6576a0a5cf5712fc4ae7344b79c44b8a1548087fd5d92bf1f64-libbrotli1_1.0.9-2+b2_arm64.deb
libbs2b0	3.1.0+dfsg-2.2+b1	amd64	libbs2b	3.1.0+dfsg-2.2	libbs2b0	arm64	native-arm64	exact-binary-and-source-version	3.1.0+dfsg-2.2+b1	a900464c3677b73ff7a05524db80f18af3bba1b3ae1bc950ea4a94b27d2000dc	a900464c3677b73ff7a05524db80f18af3bba1b3ae1bc950ea4a94b27d2000dc-libbs2b0_3.1.0+dfsg-2.2+b1_arm64.deb
libbsd0	0.11.3-1	amd64	libbsd	0.11.3-1	libbsd0	arm64	native-arm64	exact-binary-and-source-version	0.11.3-1	b6e7fa54a05e5a3a5e1ec5dceb57a470e9a0883081594aea643ca58264071e7a	b6e7fa54a05e5a3a5e1ec5dceb57a470e9a0883081594aea643ca58264071e7a-libbsd0_0.11.3-1_arm64.deb
libbytesize-common	2.5-1	all	libbytesize	2.5-1	libbytesize-common	all	reuse-all	exact-binary-and-source-version	2.5-1	6a40dde4f176a23a2a6c6e231eb713d9f1de89be865d7527f780f05046762d0f	6a40dde4f176a23a2a6c6e231eb713d9f1de89be865d7527f780f05046762d0f-libbytesize-common_2.5-1_all.deb
libbytesize1	2.5-1	amd64	libbytesize	2.5-1	libbytesize1	arm64	native-arm64	exact-binary-and-source-version	2.5-1	1b2ee02cd3a0a6691c1e6480480d22de92df634c1aed45c25c16d74117b7f97f	1b2ee02cd3a0a6691c1e6480480d22de92df634c1aed45c25c16d74117b7f97f-libbytesize1_2.5-1_arm64.deb
libbz2-1.0	1.0.8-4	amd64	bzip2	1.0.8-4	libbz2-1.0	arm64	native-arm64	exact-binary-and-source-version	1.0.8-4	da340e8470e96445c56966f74e48a9a91dee0fa5c89876e88a4575cc17d17a97	da340e8470e96445c56966f74e48a9a91dee0fa5c89876e88a4575cc17d17a97-libbz2-1.0_1.0.8-4_arm64.deb
libc-bin	2.31-13+deb11u6	amd64	glibc	2.31-13+deb11u6	libc-bin	arm64	native-arm64	exact-binary-and-source-version	2.31-13+deb11u6	2fde95a5f8089a1adbffdbabc40e35df2813c6579a450049b4d996ef8b6c3c85	2fde95a5f8089a1adbffdbabc40e35df2813c6579a450049b4d996ef8b6c3c85-libc-bin_2.31-13+deb11u6_arm64.deb
libc-l10n	2.31-13+deb11u6	all	glibc	2.31-13+deb11u6	libc-l10n	all	reuse-all	exact-binary-and-source-version	2.31-13+deb11u6	5b2f2b3aaffde479a4b520cf47069690c9875830ace48923ac23565647892fad	5b2f2b3aaffde479a4b520cf47069690c9875830ace48923ac23565647892fad-libc-l10n_2.31-13+deb11u6_all.deb
libc6	2.31-13+deb11u6	amd64	glibc	2.31-13+deb11u6	libc6	arm64	native-arm64	exact-binary-and-source-version	2.31-13+deb11u6	e8c9c4134018d8e4e097bdb10dc6886ac833b9459a140b9f0d5273a550058aa0	e8c9c4134018d8e4e097bdb10dc6886ac833b9459a140b9f0d5273a550058aa0-libc6_2.31-13+deb11u6_arm64.deb
libcaca0	0.99.beta19-2.2	amd64	libcaca	0.99.beta19-2.2	libcaca0	arm64	native-arm64	exact-binary-and-source-version	0.99.beta19-2.2	83e458423ee3314cc9c28d91105fbd80377dbca763e9fca92f50d1b747a50cb0	83e458423ee3314cc9c28d91105fbd80377dbca763e9fca92f50d1b747a50cb0-libcaca0_0.99.beta19-2.2_arm64.deb
libcairo-gobject-perl	1.005-2+b2	amd64	libcairo-gobject-perl	1.005-2	libcairo-gobject-perl	arm64	native-arm64	exact-binary-and-source-version	1.005-2+b2	6860da99901cc2953d057e577e2742bf154c6afe674ff867c832cf8639f15c50	6860da99901cc2953d057e577e2742bf154c6afe674ff867c832cf8639f15c50-libcairo-gobject-perl_1.005-2+b2_arm64.deb
libcairo-gobject2	1.16.0-5	amd64	cairo	1.16.0-5	libcairo-gobject2	arm64	native-arm64	exact-binary-and-source-version	1.16.0-5	971311ba4fa99a4611205b2f7fbb8278b3798faf3409336e6f0b0d32106f7b7b	971311ba4fa99a4611205b2f7fbb8278b3798faf3409336e6f0b0d32106f7b7b-libcairo-gobject2_1.16.0-5_arm64.deb
libcairo-perl	1.109-1	amd64	libcairo-perl	1.109-1	libcairo-perl	arm64	native-arm64	exact-binary-and-source-version	1.109-1	16fb5c876e3aeebfa07eb21004d16c7c62a83520e6c66541ac210b8e40b128c7	16fb5c876e3aeebfa07eb21004d16c7c62a83520e6c66541ac210b8e40b128c7-libcairo-perl_1.109-1_arm64.deb
libcairo2	1.16.0-5	amd64	cairo	1.16.0-5	libcairo2	arm64	native-arm64	exact-binary-and-source-version	1.16.0-5	5b18336974b045dda5fbd64799f06247f6b216ee54f3391adc90f0bf81596de5	5b18336974b045dda5fbd64799f06247f6b216ee54f3391adc90f0bf81596de5-libcairo2_1.16.0-5_arm64.deb
libcairomm-1.0-1v5	1.12.2-4	amd64	cairomm	1.12.2-4	libcairomm-1.0-1v5	arm64	native-arm64	exact-binary-and-source-version	1.12.2-4	09678589f76597ce68e08cf1b3f6b4fc3fd4ade1a48aad9077760db08b32df9c	09678589f76597ce68e08cf1b3f6b4fc3fd4ade1a48aad9077760db08b32df9c-libcairomm-1.0-1v5_1.12.2-4_arm64.deb
libcamel-1.2-62	3.38.3-1+deb11u2	amd64	evolution-data-server	3.38.3-1+deb11u2	libcamel-1.2-62	arm64	native-arm64	exact-binary-and-source-version	3.38.3-1+deb11u2	f23fa31fc0b7c5840a7e2baa1f069ca47dcaf5da32336ea4092cb3fbc51c9dbb	f23fa31fc0b7c5840a7e2baa1f069ca47dcaf5da32336ea4092cb3fbc51c9dbb-libcamel-1.2-62_3.38.3-1+deb11u2_arm64.deb
libcanberra-gtk-module	0.30-7	amd64	libcanberra	0.30-7	libcanberra-gtk-module	arm64	native-arm64	exact-binary-and-source-version	0.30-7	5eaa417ff58aeb266e297cfc41ca0f7b019f2e03eac670a84d95723ba78aeff6	5eaa417ff58aeb266e297cfc41ca0f7b019f2e03eac670a84d95723ba78aeff6-libcanberra-gtk-module_0.30-7_arm64.deb
libcanberra-gtk0	0.30-7	amd64	libcanberra	0.30-7	libcanberra-gtk0	arm64	native-arm64	exact-binary-and-source-version	0.30-7	0ade1d114f0afb354830a96761bddf4f0af0280290892f68c66731d39c79c258	0ade1d114f0afb354830a96761bddf4f0af0280290892f68c66731d39c79c258-libcanberra-gtk0_0.30-7_arm64.deb
libcanberra-gtk3-0	0.30-7	amd64	libcanberra	0.30-7	libcanberra-gtk3-0	arm64	native-arm64	exact-binary-and-source-version	0.30-7	2dcc3870ce307a5aaf08426d40ba2150785a3bb8687fec0850df57bb77eb2371	2dcc3870ce307a5aaf08426d40ba2150785a3bb8687fec0850df57bb77eb2371-libcanberra-gtk3-0_0.30-7_arm64.deb
libcanberra-gtk3-module	0.30-7	amd64	libcanberra	0.30-7	libcanberra-gtk3-module	arm64	native-arm64	exact-binary-and-source-version	0.30-7	d6b6b8bc932e43eeab5dac40fd2adce9490e6c255a780a31d870be8d6ad705d5	d6b6b8bc932e43eeab5dac40fd2adce9490e6c255a780a31d870be8d6ad705d5-libcanberra-gtk3-module_0.30-7_arm64.deb
libcanberra-pulse	0.30-7	amd64	libcanberra	0.30-7	libcanberra-pulse	arm64	native-arm64	exact-binary-and-source-version	0.30-7	da592d9d8ae54cbce6095c7f6c43223f8b9e2faf6e29d7ce68a943e9fb240411	da592d9d8ae54cbce6095c7f6c43223f8b9e2faf6e29d7ce68a943e9fb240411-libcanberra-pulse_0.30-7_arm64.deb
libcanberra0	0.30-7	amd64	libcanberra	0.30-7	libcanberra0	arm64	native-arm64	exact-binary-and-source-version	0.30-7	ca2cb45891290826394d007496fd7b5aee1d21d75e563fa56ae5c3b8340175b5	ca2cb45891290826394d007496fd7b5aee1d21d75e563fa56ae5c3b8340175b5-libcanberra0_0.30-7_arm64.deb
libcap-ng0	0.7.9-2.2+b1	amd64	libcap-ng	0.7.9-2.2	libcap-ng0	arm64	native-arm64	exact-binary-and-source-version	0.7.9-2.2+b1	b7b14e0b7747872f04691efe6c126de5ed0bf1dc200f51b93039cc2f4a65a96a	b7b14e0b7747872f04691efe6c126de5ed0bf1dc200f51b93039cc2f4a65a96a-libcap-ng0_0.7.9-2.2+b1_arm64.deb
libcap2	1:2.44-1	amd64	libcap2	1:2.44-1	libcap2	arm64	native-arm64	exact-binary-and-source-version	1:2.44-1	7c5729a1cfd14876685217c5f0545301e7ff1b839262fb487d6a778e8cd8c05a	7c5729a1cfd14876685217c5f0545301e7ff1b839262fb487d6a778e8cd8c05a-libcap2_1%3a2.44-1_arm64.deb
libcap2-bin	1:2.44-1	amd64	libcap2	1:2.44-1	libcap2-bin	arm64	native-arm64	exact-binary-and-source-version	1:2.44-1	37915f4cc73cfaef7862043f2bdad062d1b1639df04c511665f1f9321c84d0db	37915f4cc73cfaef7862043f2bdad062d1b1639df04c511665f1f9321c84d0db-libcap2-bin_1%3a2.44-1_arm64.deb
libcdio-cdda2	10.2+2.0.0-1+b2	amd64	libcdio-paranoia	10.2+2.0.0-1	libcdio-cdda2	arm64	native-arm64	exact-binary-and-source-version	10.2+2.0.0-1+b2	ac36b0852b8f24adf7be6f5403ebafdc0d460016e5e05311452bd0f41c7c4f8a	ac36b0852b8f24adf7be6f5403ebafdc0d460016e5e05311452bd0f41c7c4f8a-libcdio-cdda2_10.2+2.0.0-1+b2_arm64.deb
libcdio-paranoia2	10.2+2.0.0-1+b2	amd64	libcdio-paranoia	10.2+2.0.0-1	libcdio-paranoia2	arm64	native-arm64	exact-binary-and-source-version	10.2+2.0.0-1+b2	8a6b4c2df7cef08c3db103bbd94ba45d47ce388296384fa679f6d07d246d054a	8a6b4c2df7cef08c3db103bbd94ba45d47ce388296384fa679f6d07d246d054a-libcdio-paranoia2_10.2+2.0.0-1+b2_arm64.deb
libcdio19	2.1.0-2	amd64	libcdio	2.1.0-2	libcdio19	arm64	native-arm64	exact-binary-and-source-version	2.1.0-2	97b69a7b22d2b924388665d3227a64bc99936b2ad1168683b2cbefa142861af8	97b69a7b22d2b924388665d3227a64bc99936b2ad1168683b2cbefa142861af8-libcdio19_2.1.0-2_arm64.deb
libcdparanoia0	3.10.2+debian-13.1	amd64	cdparanoia	3.10.2+debian-13.1	libcdparanoia0	arm64	native-arm64	exact-binary-and-source-version	3.10.2+debian-13.1	9c3886d3bbea3311fdd7051b9f2fbee54f4f88dba19c1da0cf2c9ae22679f048	9c3886d3bbea3311fdd7051b9f2fbee54f4f88dba19c1da0cf2c9ae22679f048-libcdparanoia0_3.10.2+debian-13.1_arm64.deb
libcheese-gtk25	3.38.0-3	amd64	cheese	3.38.0-3	libcheese-gtk25	arm64	native-arm64	exact-binary-and-source-version	3.38.0-3	c01f75139eaf5786341494c04ac4b67fbf384ccd87bf2a771ae3eb7bf2a9b276	c01f75139eaf5786341494c04ac4b67fbf384ccd87bf2a771ae3eb7bf2a9b276-libcheese-gtk25_3.38.0-3_arm64.deb
libcheese8	3.38.0-3	amd64	cheese	3.38.0-3	libcheese8	arm64	native-arm64	exact-binary-and-source-version	3.38.0-3	bd998caa79dab179d3add67bc9d77bf242083e83fdbf4136acf75aa7f1a16793	bd998caa79dab179d3add67bc9d77bf242083e83fdbf4136acf75aa7f1a16793-libcheese8_3.38.0-3_arm64.deb
libchromaprint1	1.5.0-2	amd64	chromaprint	1.5.0-2	libchromaprint1	arm64	native-arm64	exact-binary-and-source-version	1.5.0-2	b2462da2f97fdd9ff14861451309ce3d86c4a579422c41dbdf858b2d1cfd237d	b2462da2f97fdd9ff14861451309ce3d86c4a579422c41dbdf858b2d1cfd237d-libchromaprint1_1.5.0-2_arm64.deb
libclutter-1.0-0	1.26.4+dfsg-2	amd64	clutter-1.0	1.26.4+dfsg-2	libclutter-1.0-0	arm64	native-arm64	exact-binary-and-source-version	1.26.4+dfsg-2	899eadfb895cdebcc80e91f06d7052dc0de135b2d353075bfcf62bb7371d5dde	899eadfb895cdebcc80e91f06d7052dc0de135b2d353075bfcf62bb7371d5dde-libclutter-1.0-0_1.26.4+dfsg-2_arm64.deb
libclutter-gst-3.0-0	3.0.27-2	amd64	clutter-gst-3.0	3.0.27-2	libclutter-gst-3.0-0	arm64	native-arm64	exact-binary-and-source-version	3.0.27-2	c39b81bbe8782d90ceb0ab6e9a2f822ac1e7eac6f06f82d25eaf5edb81c4dde6	c39b81bbe8782d90ceb0ab6e9a2f822ac1e7eac6f06f82d25eaf5edb81c4dde6-libclutter-gst-3.0-0_3.0.27-2_arm64.deb
libclutter-gtk-1.0-0	1.8.4-4	amd64	clutter-gtk	1.8.4-4	libclutter-gtk-1.0-0	arm64	native-arm64	exact-binary-and-source-version	1.8.4-4	7647bb76576189b38cc28ce9a66d81cf141363910dd839ac58f87cd044e98c69	7647bb76576189b38cc28ce9a66d81cf141363910dd839ac58f87cd044e98c69-libclutter-gtk-1.0-0_1.8.4-4_arm64.deb
libcodec2-0.9	0.9.2-4	amd64	codec2	0.9.2-4	libcodec2-0.9	arm64	native-arm64	exact-binary-and-source-version	0.9.2-4	325c2106a587e3c054b31cf6ab8325f61a32f141eee2cea3f2eaa0423b3398d5	325c2106a587e3c054b31cf6ab8325f61a32f141eee2cea3f2eaa0423b3398d5-libcodec2-0.9_0.9.2-4_arm64.deb
libcogl-pango20	1.22.8-2	amd64	cogl	1.22.8-2	libcogl-pango20	arm64	native-arm64	exact-binary-and-source-version	1.22.8-2	78bd0bbf857a2e72ea29eb9dd6c21471dc21fbde66cef8fe993c6f29a87113cd	78bd0bbf857a2e72ea29eb9dd6c21471dc21fbde66cef8fe993c6f29a87113cd-libcogl-pango20_1.22.8-2_arm64.deb
libcogl-path20	1.22.8-2	amd64	cogl	1.22.8-2	libcogl-path20	arm64	native-arm64	exact-binary-and-source-version	1.22.8-2	b79c5b8bd9bced86f6de04e44301a954ed3f1830ca7489ec27dfe0889b0d47bb	b79c5b8bd9bced86f6de04e44301a954ed3f1830ca7489ec27dfe0889b0d47bb-libcogl-path20_1.22.8-2_arm64.deb
libcogl20	1.22.8-2	amd64	cogl	1.22.8-2	libcogl20	arm64	native-arm64	exact-binary-and-source-version	1.22.8-2	45cdb69e48c83953f8dd332d8cdb520599d64dd7f5a43458f8b64b91244b20f8	45cdb69e48c83953f8dd332d8cdb520599d64dd7f5a43458f8b64b91244b20f8-libcogl20_1.22.8-2_arm64.deb
libcolord-gtk1	0.1.26-2	amd64	colord-gtk	0.1.26-2	libcolord-gtk1	arm64	native-arm64	exact-binary-and-source-version	0.1.26-2	f60497bbcc57473532eb8ab55953b107ff60a38e694bced9da5c42747bc70de8	f60497bbcc57473532eb8ab55953b107ff60a38e694bced9da5c42747bc70de8-libcolord-gtk1_0.1.26-2_arm64.deb
libcolord2	1.4.5-3	amd64	colord	1.4.5-3	libcolord2	arm64	native-arm64	exact-binary-and-source-version	1.4.5-3	6b0d8c1debb73d9d4a97f38804e46e384d28869c6d4458d5fe807d207eecf7a6	6b0d8c1debb73d9d4a97f38804e46e384d28869c6d4458d5fe807d207eecf7a6-libcolord2_1.4.5-3_arm64.deb
libcolorhug2	1.4.5-3	amd64	colord	1.4.5-3	libcolorhug2	arm64	native-arm64	exact-binary-and-source-version	1.4.5-3	2108ed8ea982c61806543350d29eecc82591a32a0d0a7479e9b4d8b117c1e938	2108ed8ea982c61806543350d29eecc82591a32a0d0a7479e9b4d8b117c1e938-libcolorhug2_1.4.5-3_arm64.deb
libcom-err2	1.46.2-2	amd64	e2fsprogs	1.46.2-2	libcom-err2	arm64	native-arm64	exact-binary-and-source-version	1.46.2-2	fc95d415c35f5b687871f660a5bf66963fd117daa490110499119411e2d6145e	fc95d415c35f5b687871f660a5bf66963fd117daa490110499119411e2d6145e-libcom-err2_1.46.2-2_arm64.deb
