package	version	repack_candidate	repacked	native_payloads	arch_paths	blocker_reasons
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	false	false	2	6	native-payload-present,architecture-specific-path-present
gooroom-guide	0.5.3+grm3u1+han3u1	false	false	1	0	native-payload-present
gooroom-integration-applet	0.3.1+grm3u1+han3u3	false	false	2	8	native-payload-present,architecture-specific-path-present
gooroom-session-manager	0.3.9+grm3u1+han3u2	false	false	4	7	native-payload-present,architecture-specific-path-present
