http_code	content_length	url
000	0000	0	https://archive.gooroom.kr/gooroom/pool/main/l/linux/linux-image-5.10.0-23-arm64_5.10.179-1+grm3u1_arm64.deb
000	0000	0	https://update.gooroom.kr/gooroom/pool/main/l/linux/linux-image-5.10.0-23-arm64_5.10.179-1+grm3u1_arm64.deb
404	0	https://update.hancomgooroom.com/gooroom/pool/main/l/linux/linux-image-5.10.0-23-arm64_5.10.179-1+grm3u1_arm64.deb
404	0	https://update.hancomgooroom.com/hancom/pool/main/l/linux/linux-image-5.10.0-23-arm64_5.10.179-1+grm3u1_arm64.deb
