source	source_version	role	status	binary_architectures	repository_full_name	ref_kind	ref_name	commit_sha	tree_sha	match_scope
accountsservice	0.6.55-3+grm3u1	rebuild-arm64	unresolved-version	amd64						
adduser	3.118+grm3u1	reuse-all	unresolved-version	all						
arc-icon-theme	20161113+grm3u1	reuse-all	unresolved-version	all						
arc-theme	20200513-1+grm2u1+han3u2	reuse-all	unresolved-version	all						
celluloid	0.20-2+grm3u6	rebuild-arm64	unresolved-version	all,amd64						
cups-pk-helper	0.2.6-1ubuntu3+grm3u1	rebuild-arm64	unresolved-version	amd64						
debian-system-adjustments	3.2.1+grm3u1	reuse-all	unresolved-version	all						
dpkg	1.20.12+grm3u1	rebuild-arm64	unresolved-version	all,amd64						
eog	3.38.2-1+grm3u4	rebuild-arm64	unresolved-version	amd64						
file-roller	3.38.1-1+grm3u3	rebuild-arm64	unresolved-version	amd64						
flat-remix-gtk-theme	0.3.0+grm3u1	reuse-all	unresolved-version	all						
gdebi	0.9.5.7+nmu5-1+grm3u2	reuse-all	unresolved-version	all						
gedit	3.38.1-1+grm3u3	rebuild-arm64	unresolved-version	all,amd64						
gnome-bluetooth	3.34.3-2+grm3u1	rebuild-arm64	unresolved-version	amd64						
gnome-control-center	1:3.38.4-1+grm3u9	rebuild-arm64	unresolved-version	all,amd64						
gnome-flashback	3.38.0-2+grm3u2+han3u4	rebuild-arm64	unresolved-version	all,amd64						
gnome-panel	3.38.0-1+grm3u1	rebuild-arm64	unresolved-version	all,amd64						
gnome-screenshot	3.38.0-1+grm3u2	rebuild-arm64	unresolved-version	amd64						
gnome-settings-daemon	3.38.2-1+grm3u1	rebuild-arm64	unresolved-version	all,amd64						
gooroom-agent-service	0.4.8+grm3u1	reuse-all	unresolved-version	all						
gooroom-applauncher-applet	0.4.0+grm3u1+han3u2	rebuild-arm64	unresolved-version	amd64						
gooroom-archive-keyring	20201012+grm3u1	reuse-all	unresolved-version	all						
gooroom-artwork-common	1.3.3+grm3u1	reuse-all	unresolved-version	all						
gooroom-artwork-gnome-flashback	0.4.4+grm3u1	reuse-all	unresolved-version	all						
gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1	reuse-all	unresolved-version	all						
gooroom-browser	3.5.0-1+grm3u3	rebuild-arm64	unresolved-version	all,amd64						
gooroom-client-server-register	1.1.1+han3u1	reuse-all	unresolved-version	all						
gooroom-dockbarx	1.3.0+grm3u3	reuse-all	unresolved-version	all						
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	rebuild-arm64	unresolved-version	amd64						
gooroom-greeter	0.3.1+grm3u1+han3u2	rebuild-arm64	unresolved-version	amd64						
