rank	label	user_commit	nonelf	resources	function_sizes	imports	call_sequences	mnemonics	markers	elf_size_delta	strong
1	hancom-hybrid-old-user	bcca083b854e4a6c99e0bb69db4d4868e1210cdd	0	0	0	0	0	0	0	584	true
2	public-0.3.5-user	168ff81421ea1f5bae9e715c5ccdd559e015d44c	0	0	2	0	2	2	1	4680	false
