path	classification	unsigned_equal	runtime_equal	executable_equal	writable_equal	symbol_equal	text_equal	different_runtime_sections
kernel/drivers/net/wireless/ath/ar5523/ar5523.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.text,.text.unlikely,__dyndbg,__jump_table,__mcount_loc,__versions
kernel/drivers/net/wireless/ath/ath.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath10k/ath10k_core.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath10k/ath10k_pci.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath10k/ath10k_usb.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath11k/ath11k.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath11k/ath11k_pci.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath5k/ath5k.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath6kl/ath6kl_core.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath6kl/ath6kl_sdio.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath6kl/ath6kl_usb.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath9k/ath9k.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath9k/ath9k_common.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath9k/ath9k_htc.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/ath9k/ath9k_hw.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/drivers/net/wireless/ath/carl9170/carl9170.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.text,.text.unlikely,__dyndbg,__jump_table,__versions
kernel/drivers/net/wireless/ath/wil6210/wil6210.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__bug_table,__dyndbg,__jump_table,__mcount_loc,__tracepoints,__versions
kernel/drivers/net/wireless/atmel/at76c50x-usb.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.text,.text.unlikely,__dyndbg,__jump_table,__versions
