source	source_version	role	status	binary_architectures	repository_full_name	ref_kind	ref_name	commit_sha	tree_sha	match_scope
gooroom-guide	0.5.3+grm3u1+han3u1	rebuild-arm64	unresolved-version	amd64						
gooroom-icon-themes	1.3.6+grm3u1+han3u2	reuse-all	unresolved-version	all						
gooroom-indicator-applet	0.3.0+grm3u1	rebuild-arm64	resolved	amd64	gooroom/gooroom-indicator-applet	branch	gooroom-3.0	cb5092080b8fbe48effd990e60084e938aa0b306	dae79af224f437e6ed12e9690b7d2a7f7f46292e	ref-tip
gooroom-info	3.3.0+grm3u1	reuse-all	resolved	all	gooroom/gooroom-info	branch-history	gooroom-3.0	ee417b75cfe8a442f4876591ce0ca3814f595bc2	c0d97f030de5d86080ac67ed3210eb6f80b018b7	pickaxe-depth-300
gooroom-integration-applet	0.3.1+grm3u1+han3u3	rebuild-arm64	unresolved-version	amd64						
gooroom-libsecurity-extensions	0.1.7+grm3u1	rebuild-arm64	resolved	amd64	gooroom/gooroom-libsecurity-extensions	branch	gooroom-3.0	4990bab95ae1dcaa29f38836da83edfa0969ed73	e1dce97d3cd69331047c01940b2593a0eaf2307a	ref-tip
gooroom-logout	0.3.0+grm3u1	rebuild-arm64	resolved	amd64	gooroom/gooroom-logout	branch	gooroom-3.0	28dcdee1a4297eaa5c3403a6b5630d3c23250379	fd614ae882300afbb5e91206547a21642a59807c	ref-tip
gooroom-notice-applet	0.3.4+grm3u1	rebuild-arm64	resolved	amd64	gooroom/gooroom-notice-applet	branch	master	e0bcc0b3e41ae705bc338b85998ed555a17a58d6	1b7737d55f83af87ea607e6ae989a98368348d83	ref-tip
gooroom-notifyd	0.5.0+grm3u1	rebuild-arm64	resolved	amd64	gooroom/gooroom-notifyd	branch	gooroom-3.0	c7e5fc76cc0928361f1b2cb0e69baf9e14bc0f6f	f4bc0f6f19f0ac51091eaf2abde590003447d4e7	ref-tip
gooroom-resource-access-control	1.4.9+grm3u1	reuse-all	resolved	all	gooroom/gooroom-resource-access-control	branch	master	c67a5d3a3bc80ef66a81829a8e593e2fdfcabc55	e9cea2d045d86b44fd6e2205a9cbca89e4cb0c3f	ref-tip
gooroom-security-status-tools	0.3.9+grm3u1	rebuild-arm64	resolved	amd64	gooroom/gooroom-security-status-tools	branch	gooroom-3.0	ef97dd1670744365acae9e5d176a96cd81d73671	083237804297c06e1f7dcec02436c226ca75f1ec	ref-tip
gooroom-security-utils	0.3.7+grm3u1	reuse-all	resolved	all	gooroom/gooroom-security-utils	branch	master	bf71213bb3a61fccb7b736151c8814b9975894d6	c91c872121b780ced52a7df3f4ddf9fda73eff39	ref-tip
gooroom-session-manager	0.3.9+grm3u1+han3u2	rebuild-arm64	unresolved-version	amd64						
gooroom-showdesktop-applet	0.2.0+grm3u1	rebuild-arm64	resolved	amd64	gooroom/gooroom-showdesktop-applet	branch	master	7a296d9d0b9c35c01014f08495cc6da347f07ca0	d139bced2ae046922d3c0e35dc8357551245b6a3	ref-tip
gooroom-software	3.30.6+5+grm3u6	rebuild-arm64	resolved	all,amd64	gooroom/gooroom-software	branch	gooroom-4.0	7e4de0526d7924d5602318ad5cf68ed56cedf860	54062665678a9115c030f5e6ab2bf7aac5e323db	ref-tip
gooroom-translations	20230728+han3u1	reuse-all	unresolved-version	all						
