source	source_version	role	status	repository	directory	dsc_name	dsc_sha256	url
gooroom-showdesktop-applet	0.2.0+grm3u1	rebuild-arm64	missing-exact-signed-dsc			gooroom-showdesktop-applet_0.2.0+grm3u1.dsc		
gooroom-software	3.30.6+5+grm3u6	rebuild-arm64	missing-exact-signed-dsc			gooroom-software_3.30.6+5+grm3u6.dsc		
gooroom-translations	20230728+han3u1	reuse-all	missing-exact-signed-dsc			gooroom-translations_20230728+han3u1.dsc		
gooroom-update	1.3.3+grm3u1	reuse-all	missing-exact-signed-dsc			gooroom-update_1.3.3+grm3u1.dsc		
gooroom-yelp-adjustments	0.3.10+han3u1	reuse-all	missing-exact-signed-dsc			gooroom-yelp-adjustments_0.3.10+han3u1.dsc		
gooroomsystem	1.1.3+grm3u1	reuse-all	missing-exact-signed-dsc			gooroomsystem_1.1.3+grm3u1.dsc		
gtk+2.0	2.24.33-2+grm3u1	rebuild-arm64	missing-exact-signed-dsc			gtk+2.0_2.24.33-2+grm3u1.dsc		
gtk+3.0	3.24.24-4+grm3u2	rebuild-arm64	missing-exact-signed-dsc			gtk+3.0_3.24.24-4+grm3u2.dsc		
hancom-gooroom-themepack	0.3.3+han3u1	reuse-all	missing-exact-signed-dsc			hancom-gooroom-themepack_0.3.3+han3u1.dsc		
hancom-toolkit	0.3.3+han3u1	rebuild-arm64	missing-exact-signed-dsc			hancom-toolkit_0.3.3+han3u1.dsc		
hancom-viewer-installer	0.2.2+han3u1	rebuild-arm64	missing-exact-signed-dsc			hancom-viewer-installer_0.2.2+han3u1.dsc		
hancomgrm-adjustments-utils	0.3.3+han3u1	rebuild-arm64	missing-exact-signed-dsc			hancomgrm-adjustments-utils_0.3.3+han3u1.dsc		
libnma	1.8.30-1+grm3u2	rebuild-arm64	missing-exact-signed-dsc			libnma_1.8.30-1+grm3u2.dsc		
lightdm	1.26.0-7+grm3u1	rebuild-arm64	missing-exact-signed-dsc			lightdm_1.26.0-7+grm3u1.dsc		
linux	5.10.179-1+grm3u1	rebuild-arm64	missing-exact-signed-dsc			linux_5.10.179-1+grm3u1.dsc		
linux-signed-amd64	5.10.179+1+grm3u1	rebuild-arm64	missing-exact-signed-dsc			linux-signed-amd64_5.10.179+1+grm3u1.dsc		
live-config	11.0.3+grm3u1	reuse-all	missing-exact-signed-dsc			live-config_11.0.3+grm3u1.dsc		
live-installer	2023.06.30+han3u1	reuse-all	missing-exact-signed-dsc			live-installer_2023.06.30+han3u1.dsc		
metacity	1:3.38.0-2+grm3u1	rebuild-arm64	missing-exact-signed-dsc			metacity_3.38.0-2+grm3u1.dsc		
mousetweaks	3.32.0-3+grm3u1	rebuild-arm64	missing-exact-signed-dsc			mousetweaks_3.32.0-3+grm3u1.dsc		
