locale	target_sha256	roundtrip_sha256	exact
en_GB	0a82b52d53da5dc877f65d473a2d0da51c55dcf74c16c9f5dbb0dc97666f9507	0a82b52d53da5dc877f65d473a2d0da51c55dcf74c16c9f5dbb0dc97666f9507	true
ko	e281f240bfef493b72208953d59e804bb3c2b03be03fcddc05d849846d258b8c	e281f240bfef493b72208953d59e804bb3c2b03be03fcddc05d849846d258b8c	true
