source	version	status	source_stanza_candidates	direct_dsc_hits	candidate_attempts	reason
gnome-flashback	3.38.0-2+grm3u2+han3u4	unresolved	0	0	0	no complete exact source archive recovered from Common Crawl
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	unresolved	0	0	0	no complete exact source archive recovered from Common Crawl
gooroom-guide	0.5.3+grm3u1+han3u1	unresolved	0	0	0	no complete exact source archive recovered from Common Crawl
gooroom-integration-applet	0.3.1+grm3u1+han3u3	unresolved	0	0	0	no complete exact source archive recovered from Common Crawl
gooroom-session-manager	0.3.9+grm3u1+han3u2	unresolved	0	0	0	no complete exact source archive recovered from Common Crawl
linux	5.10.179-1+grm3u1	unresolved	0	0	0	no complete exact source archive recovered from Common Crawl
qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	unresolved	0	0	0	no complete exact source archive recovered from Common Crawl
