package	version	architecture	source	source_version	multi_arch	essential	priority	section	custom_candidate
gstreamer1.0-clutter-3.0	3.0.27-2	amd64	clutter-gst-3.0	3.0.27-2	same	no	optional	libs	False
gstreamer1.0-libav	1.18.4-3	amd64	gst-libav1.0	1.18.4-3	same	no	optional	libs	False
gstreamer1.0-nice	0.1.16-1	amd64	libnice	0.1.16-1	same	no	optional	net	False
gstreamer1.0-plugins-bad	1.18.4-3+deb11u1	amd64	gst-plugins-bad1.0	1.18.4-3+deb11u1	same	no	optional	libs	False
gstreamer1.0-plugins-base	1.18.4-2+deb11u1	amd64	gst-plugins-base1.0	1.18.4-2+deb11u1	same	no	optional	libs	False
gstreamer1.0-plugins-good	1.18.4-2+deb11u2	amd64	gst-plugins-good1.0	1.18.4-2+deb11u2	same	no	optional	libs	False
gstreamer1.0-plugins-ugly	1.18.4-2	amd64	gst-plugins-ugly1.0	1.18.4-2	same	no	optional	libs	False
gstreamer1.0-pulseaudio	1.18.4-2+deb11u2	amd64	gst-plugins-good1.0	1.18.4-2+deb11u2	same	no	optional	sound	False
gstreamer1.0-x	1.18.4-2+deb11u1	amd64	gst-plugins-base1.0	1.18.4-2+deb11u1	same	no	optional	libs	False
gtk-update-icon-cache	3.24.24-4+grm3u2	amd64	gtk+3.0	3.24.24-4+grm3u2	foreign	no	optional	misc	True
gtk2-engines-murrine	0.98.2-3	amd64	gtk2-engines-murrine	0.98.2-3	same	no	optional	x11	False
gtk2-engines-pixbuf	2.24.33-2+grm3u1	amd64	gtk+2.0	2.24.33-2+grm3u1	same	no	optional	graphics	True
gvfs	1.46.2-1	amd64	gvfs	1.46.2-1	same	no	optional	libs	False
gvfs-backends	1.46.2-1	amd64	gvfs	1.46.2-1	foreign	no	optional	gnome	False
gvfs-common	1.46.2-1	all	gvfs	1.46.2-1	foreign	no	optional	libs	False
gvfs-daemons	1.46.2-1	amd64	gvfs	1.46.2-1	foreign	no	optional	libs	False
gvfs-libs	1.46.2-1	amd64	gvfs	1.46.2-1	same	no	optional	libs	False
gzip	1.10-4+deb11u1	amd64	gzip	1.10-4+deb11u1		yes	required	utils	False
hancom-gooroom-themepack	0.3.3+han3u1	all	hancom-gooroom-themepack	0.3.3+han3u1		no	optional	x11	True
hancom-toolkit	0.3.3+han3u1	amd64	hancom-toolkit	0.3.3+han3u1		no	optional	gnome	True
hancom-viewer-installer	0.2.2+han3u1	amd64	hancom-viewer-installer	0.2.2+han3u1		no	optional	gnome	True
hancomgrm-adjustments-utils	0.3.3+han3u1	amd64	hancomgrm-adjustments-utils	0.3.3+han3u1		no	optional	utils	True
hicolor-icon-theme	0.17-2	all	hicolor-icon-theme	0.17-2	foreign	no	optional	misc	False
hostname	3.23	amd64	hostname	3.23		yes	required	admin	False
hp-ppd	0.9+nmu1	all	hp-ppd	0.9+nmu1		no	optional	utils	False
hpijs-ppds	3.21.2+dfsg1-2	all	hplip	3.21.2+dfsg1-2		no	optional	utils	False
hunspell-en-us	1:2019.10.06-1	all	scowl	2019.10.06-1	foreign	no	standard	text	False
ieee-data	20210605.1	all	ieee-data	20210605.1		no	optional	net	False
ifupdown	0.8.36	amd64	ifupdown	0.8.36	foreign	no	important	admin	False
im-config	0.46-1+deb11u1	all	im-config	0.46-1+deb11u1		no	optional	x11	False
init	1.60	amd64	init-system-helpers	1.60	foreign	no	important	metapackages	False
init-system-helpers	1.60	all	init-system-helpers	1.60	foreign	yes	required	admin	False
initramfs-tools	0.140	all	initramfs-tools	0.140	foreign	no	optional	utils	False
initramfs-tools-core	0.140	all	initramfs-tools	0.140	foreign	no	optional	utils	False
insserv	1.21.0-1.1	amd64	insserv	1.21.0-1.1		no	optional	misc	False
intel-microcode	3.20230214.1~deb11u1	amd64	intel-microcode	3.20230214.1~deb11u1		no	standard	non-free/admin	False
iproute2	5.10.0-4	amd64	iproute2	5.10.0-4	foreign	no	important	net	False
iptables	1.8.7-1	amd64	iptables	1.8.7-1	foreign	no	optional	net	False
iputils-ping	3:20210202-1	amd64	iputils	3:20210202-1	foreign	no	important	net	False
isc-dhcp-client	4.4.1-2.3+deb11u2	amd64	isc-dhcp	4.4.1-2.3+deb11u2		no	important	net	False
isc-dhcp-common	4.4.1-2.3+deb11u2	amd64	isc-dhcp	4.4.1-2.3+deb11u2		no	important	net	False
iso-codes	4.6.0-1	all	iso-codes	4.6.0-1	foreign	no	optional	misc	False
isoquery	3.2.4-1+deb11u1	amd64	isoquery	3.2.4-1+deb11u1		no	optional	misc	False
iucode-tool	2.3.1-1	amd64	iucode-tool	2.3.1-1		no	optional	contrib/utils	False
kbd	2.3.0-3	amd64	kbd	2.3.0-3		no	optional	utils	False
keyboard-configuration	1.205	all	console-setup	1.205	foreign	no	optional	utils	False
keyutils	1.6.1-2	amd64	keyutils	1.6.1-2	foreign	no	optional	admin	False
klibc-utils	2.0.8-6.1	amd64	klibc	2.0.8-6.1	foreign	no	optional	libs	False
kmod	28-1	amd64	kmod	28-1	foreign	no	important	admin	False
less	551-2	amd64	less	551-2	foreign	no	important	text	False
liba52-0.7.4	0.7.4-20	amd64	a52dec	0.7.4-20	same	no	optional	libs	False
libaa1	1.4p5-48	amd64	aalib	1.4p5-48	same	no	optional	libs	False
libaccountsservice0	0.6.55-3+grm3u1	amd64	accountsservice	0.6.55-3+grm3u1	same	no	optional	libs	True
libacl1	2.2.53-10	amd64	acl	2.2.53-10	same	no	optional	libs	False
libamtk-5-0	5.2.0-1	amd64	amtk	5.2.0-1	same	no	optional	libs	False
libamtk-5-common	5.2.0-1	all	amtk	5.2.0-1	foreign	no	optional	libs	False
libaom0	1.0.0.errata1-3	amd64	aom	1.0.0.errata1-3	same	no	optional	libs	False
libapparmor1	2.13.6-10	amd64	apparmor	2.13.6-10	same	no	optional	libs	False
libappstream-glib8	0.7.18-1	amd64	appstream-glib	0.7.18-1	same	no	optional	libs	False
libappstream4	0.14.4-1	amd64	appstream	0.14.4-1	same	no	optional	libs	False
libapt-pkg6.0	2.2.4	amd64	apt	2.2.4	same	no	optional	libs	False
libarchive13	3.4.3-2+deb11u1	amd64	libarchive	3.4.3-2+deb11u1	same	no	optional	libs	False
libargon2-1	0~20171227-0.2	amd64	argon2	0~20171227-0.2	same	no	optional	libs	False
libasound2	1.2.4-1.1	amd64	alsa-lib	1.2.4-1.1	same	no	optional	libs	False
libasound2-data	1.2.4-1.1	all	alsa-lib	1.2.4-1.1	foreign	no	optional	libs	False
libasound2-plugins	1.2.2-2	amd64	alsa-plugins	1.2.2-2	same	no	optional	libs	False
libaspell15	0.60.8-3	amd64	aspell	0.60.8-3	same	no	optional	libs	False
libass9	1:0.15.0-2	amd64	libass	1:0.15.0-2	same	no	optional	libs	False
libassuan0	2.5.3-7.1	amd64	libassuan	2.5.3-7.1	same	no	optional	libs	False
libasyncns0	0.8-6+b2	amd64	libasyncns	0.8-6	same	no	optional	libs	False
libatasmart4	0.19-5	amd64	libatasmart	0.19-5	same	no	optional	libs	False
libatk-bridge2.0-0	2.38.0-1	amd64	at-spi2-atk	2.38.0-1	same	no	optional	libs	False
libatk1.0-0	2.36.0-2	amd64	atk1.0	2.36.0-2	same	no	optional	libs	False
libatk1.0-data	2.36.0-2	all	atk1.0	2.36.0-2	foreign	no	optional	misc	False
libatkmm-1.6-1v5	2.28.0-3	amd64	atkmm1.6	2.28.0-3	same	no	optional	libs	False
libatomic1	10.2.1-6	amd64	gcc-10	10.2.1-6	same	no	optional	libs	False
libatopology2	1.2.4-1.1	amd64	alsa-lib	1.2.4-1.1	same	no	optional	libs	False
libatspi2.0-0	2.38.0-4+deb11u1	amd64	at-spi2-core	2.38.0-4+deb11u1	same	no	optional	libs	False
libattr1	1:2.4.48-6	amd64	attr	1:2.4.48-6	same	no	optional	libs	False
libaudit-common	1:3.0-2	all	audit	1:3.0-2	foreign	no	optional	libs	False
libaudit1	1:3.0-2	amd64	audit	1:3.0-2	same	no	optional	libs	False
libavahi-client3	0.8-5+deb11u2	amd64	avahi	0.8-5+deb11u2	same	no	optional	libs	False
libavahi-common-data	0.8-5+deb11u2	amd64	avahi	0.8-5+deb11u2	same	no	optional	libs	False
libavahi-common3	0.8-5+deb11u2	amd64	avahi	0.8-5+deb11u2	same	no	optional	libs	False
libavahi-glib1	0.8-5+deb11u2	amd64	avahi	0.8-5+deb11u2	same	no	optional	libs	False
libavc1394-0	0.5.4-5	amd64	libavc1394	0.5.4-5	same	no	optional	libs	False
libavcodec58	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	same	no	optional	libs	False
libavdevice58	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	same	no	optional	libs	False
libavfilter7	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	same	no	optional	libs	False
libavformat58	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	same	no	optional	libs	False
libavresample4	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	same	no	optional	libs	False
libavutil56	7:4.3.6-0+deb11u1	amd64	ffmpeg	7:4.3.6-0+deb11u1	same	no	optional	libs	False
libayatana-appindicator3-1	0.5.5-2+deb11u2	amd64	libayatana-appindicator	0.5.5-2+deb11u2		no	optional	libs	False
libayatana-ido3-0.4-0	0.8.2-1	amd64	ayatana-ido	0.8.2-1	same	no	optional	libs	False
libayatana-indicator3-7	0.8.4-1+deb11u2	amd64	libayatana-indicator	0.8.4-1+deb11u2	same	no	optional	libs	False
libb64-0d	1.2-5+b1	amd64	libb64	1.2-5	same	no	optional	libs	False
libbinutils	2.35.2-2	amd64	binutils	2.35.2-2	same	no	optional	devel	False
libblas3	3.9.0-3	amd64	lapack	3.9.0-3	same	no	optional	libs	False
libblkid1	2.36.1-8+deb11u1	amd64	util-linux	2.36.1-8+deb11u1	same	no	optional	libs	False
libblockdev-crypto2	2.25-2	amd64	libblockdev	2.25-2	same	no	optional	libs	False
libblockdev-fs2	2.25-2	amd64	libblockdev	2.25-2	same	no	optional	libs	False
libblockdev-loop2	2.25-2	amd64	libblockdev	2.25-2	same	no	optional	libs	False
libblockdev-mdraid2	2.25-2	amd64	libblockdev	2.25-2	same	no	optional	libs	False
libblockdev-part-err2	2.25-2	amd64	libblockdev	2.25-2	same	no	optional	libs	False
libblockdev-part2	2.25-2	amd64	libblockdev	2.25-2	same	no	optional	libs	False
libblockdev-swap2	2.25-2	amd64	libblockdev	2.25-2	same	no	optional	libs	False
libblockdev-utils2	2.25-2	amd64	libblockdev	2.25-2	same	no	optional	libs	False
libblockdev2	2.25-2	amd64	libblockdev	2.25-2	same	no	optional	libs	False
libbluetooth3	5.55-3.1	amd64	bluez	5.55-3.1	same	no	optional	libs	False
libbluray2	1:1.2.1-4+deb11u2	amd64	libbluray	1:1.2.1-4+deb11u2	same	no	optional	libs	False
libboost-iostreams1.74.0	1.74.0-9	amd64	boost1.74	1.74.0-9	same	no	optional	libs	False
libbpf0	1:0.3-2	amd64	libbpf	0.3-2	same	no	optional	libs	False
libbrotli1	1.0.9-2+b2	amd64	brotli	1.0.9-2	same	no	optional	libs	False
libbs2b0	3.1.0+dfsg-2.2+b1	amd64	libbs2b	3.1.0+dfsg-2.2	same	no	extra	libs	False
libbsd0	0.11.3-1	amd64	libbsd	0.11.3-1	same	no	optional	libs	False
libbytesize-common	2.5-1	all	libbytesize	2.5-1	foreign	no	optional	libs	False
libbytesize1	2.5-1	amd64	libbytesize	2.5-1	same	no	optional	libs	False
libbz2-1.0	1.0.8-4	amd64	bzip2	1.0.8-4	same	no	optional	libs	False
libc-bin	2.31-13+deb11u6	amd64	glibc	2.31-13+deb11u6	foreign	yes	required	libs	False
libc-l10n	2.31-13+deb11u6	all	glibc	2.31-13+deb11u6	foreign	no	standard	localization	False
libc6	2.31-13+deb11u6	amd64	glibc	2.31-13+deb11u6	same	no	optional	libs	False
libcaca0	0.99.beta19-2.2	amd64	libcaca	0.99.beta19-2.2	same	no	optional	libs	False
libcairo-gobject-perl	1.005-2+b2	amd64	libcairo-gobject-perl	1.005-2		no	optional	perl	False
libcairo-gobject2	1.16.0-5	amd64	cairo	1.16.0-5	same	no	optional	libs	False
libcairo-perl	1.109-1	amd64	libcairo-perl	1.109-1	same	no	optional	perl	False
libcairo2	1.16.0-5	amd64	cairo	1.16.0-5	same	no	optional	libs	False
libcairomm-1.0-1v5	1.12.2-4	amd64	cairomm	1.12.2-4	same	no	optional	libs	False
libcamel-1.2-62	3.38.3-1+deb11u2	amd64	evolution-data-server	3.38.3-1+deb11u2	same	no	optional	libs	False
libcanberra-gtk-module	0.30-7	amd64	libcanberra	0.30-7	same	no	optional	libs	False
libcanberra-gtk0	0.30-7	amd64	libcanberra	0.30-7	same	no	optional	libs	False
libcanberra-gtk3-0	0.30-7	amd64	libcanberra	0.30-7	same	no	optional	libs	False
libcanberra-gtk3-module	0.30-7	amd64	libcanberra	0.30-7	same	no	optional	libs	False
libcanberra-pulse	0.30-7	amd64	libcanberra	0.30-7	same	no	optional	libs	False
libcanberra0	0.30-7	amd64	libcanberra	0.30-7	same	no	optional	libs	False
libcap-ng0	0.7.9-2.2+b1	amd64	libcap-ng	0.7.9-2.2	same	no	optional	libs	False
libcap2	1:2.44-1	amd64	libcap2	1:2.44-1	same	no	optional	libs	False
libcap2-bin	1:2.44-1	amd64	libcap2	1:2.44-1	foreign	no	optional	utils	False
libcdio-cdda2	10.2+2.0.0-1+b2	amd64	libcdio-paranoia	10.2+2.0.0-1	same	no	optional	libs	False
libcdio-paranoia2	10.2+2.0.0-1+b2	amd64	libcdio-paranoia	10.2+2.0.0-1	same	no	optional	libs	False
libcdio19	2.1.0-2	amd64	libcdio	2.1.0-2	same	no	optional	libs	False
libcdparanoia0	3.10.2+debian-13.1	amd64	cdparanoia	3.10.2+debian-13.1	same	no	optional	libs	False
libcheese-gtk25	3.38.0-3	amd64	cheese	3.38.0-3	same	no	optional	libs	False
libcheese8	3.38.0-3	amd64	cheese	3.38.0-3	same	no	optional	libs	False
libchromaprint1	1.5.0-2	amd64	chromaprint	1.5.0-2	same	no	optional	libs	False
libclutter-1.0-0	1.26.4+dfsg-2	amd64	clutter-1.0	1.26.4+dfsg-2	same	no	optional	libs	False
libclutter-gst-3.0-0	3.0.27-2	amd64	clutter-gst-3.0	3.0.27-2	same	no	optional	libs	False
libclutter-gtk-1.0-0	1.8.4-4	amd64	clutter-gtk	1.8.4-4	same	no	optional	libs	False
libcodec2-0.9	0.9.2-4	amd64	codec2	0.9.2-4	same	no	optional	libs	False
libcogl-pango20	1.22.8-2	amd64	cogl	1.22.8-2	same	no	optional	libs	False
libcogl-path20	1.22.8-2	amd64	cogl	1.22.8-2	same	no	optional	libs	False
libcogl20	1.22.8-2	amd64	cogl	1.22.8-2	same	no	optional	libs	False
libcolord-gtk1	0.1.26-2	amd64	colord-gtk	0.1.26-2	same	no	optional	libs	False
libcolord2	1.4.5-3	amd64	colord	1.4.5-3	same	no	optional	libs	False
libcolorhug2	1.4.5-3	amd64	colord	1.4.5-3	same	no	optional	libs	False
libcom-err2	1.46.2-2	amd64	e2fsprogs	1.46.2-2	same	no	optional	libs	False
libcrack2	2.9.6-3.4	amd64	cracklib2	2.9.6-3.4	same	no	optional	libs	False
libcrypt1	1:4.4.18-4	amd64	libxcrypt	1:4.4.18-4	same	no	optional	libs	False
libcryptsetup12	2:2.3.7-1+deb11u1	amd64	cryptsetup	2:2.3.7-1+deb11u1	same	no	optional	libs	False
libctf-nobfd0	2.35.2-2	amd64	binutils	2.35.2-2	same	no	optional	devel	False
libctf0	2.35.2-2	amd64	binutils	2.35.2-2	same	no	optional	devel	False
libcue2	2.2.1-3	amd64	libcue	2.2.1-3	same	no	optional	libs	False
libcups2	2.3.3op2-3+deb11u2	amd64	cups	2.3.3op2-3+deb11u2	same	no	optional	libs	False
libcupsfilters1	1.28.7-1+deb11u2	amd64	cups-filters	1.28.7-1+deb11u2	same	no	optional	libs	False
libcupsimage2	2.3.3op2-3+deb11u2	amd64	cups	2.3.3op2-3+deb11u2	same	no	optional	libs	False
libcurl3-gnutls	7.74.0-1.3+deb11u7	amd64	curl	7.74.0-1.3+deb11u7	same	no	optional	libs	False
libcurl4	7.74.0-1.3+deb11u7	amd64	curl	7.74.0-1.3+deb11u7	same	no	optional	libs	False
libcwidget4	0.5.18-5	amd64	cwidget	0.5.18-5	same	no	optional	libs	False
libdatrie1	0.2.13-1	amd64	libdatrie	0.2.13-1	same	no	optional	libs	False
libdav1d4	0.7.1-3	amd64	dav1d	0.7.1-3	same	no	optional	libs	False
libdb5.3	5.3.28+dfsg1-0.8	amd64	db5.3	5.3.28+dfsg1-0.8	same	no	optional	libs	False
libdbus-1-3	1.12.24-0+deb11u1	amd64	dbus	1.12.24-0+deb11u1	same	no	optional	libs	False
libdbus-glib-1-2	0.110-6	amd64	dbus-glib	0.110-6	same	no	optional	oldlibs	False
libdbusmenu-glib4	18.10.20180917~bzr492+repack1-2	amd64	libdbusmenu	18.10.20180917~bzr492+repack1-2	same	no	optional	libs	False
libdbusmenu-gtk3-4	18.10.20180917~bzr492+repack1-2	amd64	libdbusmenu	18.10.20180917~bzr492+repack1-2	same	no	optional	libs	False
libdc1394-25	2.2.6-3	amd64	libdc1394	2.2.6-3	same	no	optional	libs	False
libdca0	0.0.7-2	amd64	libdca	0.0.7-2	same	no	optional	libs	False
libdconf1	0.38.0-2	amd64	dconf	0.38.0-2	same	no	optional	libs	False
libde265-0	1.0.11-0+deb11u1	amd64	libde265	1.0.11-0+deb11u1	same	no	optional	libs	False
libdebconfclient0	0.260	amd64	cdebconf	0.260	same	no	optional	libs	False
libdee-1.0-4	1.2.7+17.10.20170616-6+b1	amd64	dee	1.2.7+17.10.20170616-6	same	no	optional	libs	False
libdeflate0	1.7-1	amd64	libdeflate	1.7-1	same	no	optional	libs	False
libdevmapper1.02.1	2:1.02.175-2.1	amd64	lvm2	2.03.11-2.1	same	no	optional	libs	False
libdns-export1110	1:9.11.19+dfsg-2.1	amd64	bind9-libs	1:9.11.19+dfsg-2.1		no	optional	libs	False
libdouble-conversion3	3.1.5-6.1	amd64	double-conversion	3.1.5-6.1	same	no	optional	libs	False
libdpkg-perl	1.20.12+grm3u1	all	dpkg	1.20.12+grm3u1	foreign	no	optional	perl	True
libdrm-amdgpu1	2.4.104-1	amd64	libdrm	2.4.104-1	same	no	optional	libs	False
libdrm-common	2.4.104-1	all	libdrm	2.4.104-1	foreign	no	optional	libs	False
libdrm-intel1	2.4.104-1	amd64	libdrm	2.4.104-1	same	no	optional	libs	False
libdrm-nouveau2	2.4.104-1	amd64	libdrm	2.4.104-1	same	no	optional	libs	False
libdrm-radeon1	2.4.104-1	amd64	libdrm	2.4.104-1	same	no	optional	libs	False
libdrm2	2.4.104-1	amd64	libdrm	2.4.104-1	same	no	optional	libs	False
libdv4	1.0.0-13	amd64	libdv	1.0.0-13	same	no	optional	libs	False
libdvdnav4	6.1.0-1+b1	amd64	libdvdnav	6.1.0-1	same	no	optional	libs	False
libdvdread8	6.1.1-2	amd64	libdvdread	6.1.1-2	same	no	optional	libs	False
libdw1	0.183-1	amd64	elfutils	0.183-1	same	no	optional	libs	False
libecal-2.0-1	3.38.3-1+deb11u2	amd64	evolution-data-server	3.38.3-1+deb11u2	same	no	optional	libs	False
libecryptfs1	111-5	amd64	ecryptfs-utils	111-5		no	optional	libs	False
libedataserver-1.2-25	3.38.3-1+deb11u2	amd64	evolution-data-server	3.38.3-1+deb11u2	same	no	optional	libs	False
libedit2	3.1-20191231-2+b1	amd64	libedit	3.1-20191231-2	same	no	optional	libs	False
libefiboot1	37-6	amd64	efivar	37-6	same	no	optional	libs	False
libefivar1	37-6	amd64	efivar	37-6	same	no	optional	libs	False
libegl-mesa0	20.3.5-1	amd64	mesa	20.3.5-1	same	no	optional	libs	False
libegl1	1.3.2-1	amd64	libglvnd	1.3.2-1	same	no	optional	libs	False
libelf1	0.183-1	amd64	elfutils	0.183-1	same	no	optional	libs	False
libenchant-2-2	2.2.15-1	amd64	enchant-2	2.2.15-1	same	no	optional	libs	False
libepoxy0	1.5.5-1	amd64	libepoxy	1.5.5-1	same	no	optional	libs	False
libept1.6.0	1.2.1	amd64	libept	1.2.1	same	no	optional	libs	False
libestr0	0.1.10-2.1+b1	amd64	libestr	0.1.10-2.1	same	no	optional	libs	False
libevdev2	1.11.0+dfsg-1	amd64	libevdev	1.11.0+dfsg-1	same	no	optional	libs	False
libevent-2.1-7	2.1.12-stable-1	amd64	libevent	2.1.12-stable-1	same	no	optional	libs	False
libexempi8	2.5.2-1	amd64	exempi	2.5.2-1	same	no	optional	libs	False
libexif12	0.6.22-3	amd64	libexif	0.6.22-3	same	no	optional	libs	False
libexiv2-27	0.27.3-3+deb11u2	amd64	exiv2	0.27.3-3+deb11u2	same	no	optional	libs	False
libexpat1	2.2.10-2+deb11u5	amd64	expat	2.2.10-2+deb11u5	same	no	optional	libs	False
libext2fs2	1.46.2-2	amd64	e2fsprogs	1.46.2-2	same	no	optional	libs	False
libextutils-depends-perl	0.8000-1	all	libextutils-depends-perl	0.8000-1		no	optional	perl	False
libextutils-pkgconfig-perl	1.16-1.1	all	libextutils-pkgconfig-perl	1.16-1.1		no	optional	perl	False
libfaad2	2.10.0-1	amd64	faad2	2.10.0-1	same	no	optional	libs	False
libfastjson4	0.99.9-1	amd64	libfastjson	0.99.9-1	same	no	optional	libs	False
libfdisk1	2.36.1-8+deb11u1	amd64	util-linux	2.36.1-8+deb11u1	same	no	optional	libs	False
libffi7	3.3-6	amd64	libffi	3.3-6	same	no	optional	libs	False
libfftw3-double3	3.3.8-2	amd64	fftw3	3.3.8-2	same	no	optional	libs	False
libfftw3-single3	3.3.8-2	amd64	fftw3	3.3.8-2	same	no	optional	libs	False
libflac8	1.3.3-2+deb11u1	amd64	flac	1.3.3-2+deb11u1	same	no	optional	libs	False
libflatpak0	1.10.8-0+deb11u1	amd64	flatpak	1.10.8-0+deb11u1	same	no	optional	libs	False
libflite1	2.2-2	amd64	flite	2.2-2	same	no	optional	libs	False
libfluidsynth2	2.1.7-1.1	amd64	fluidsynth	2.1.7-1.1	same	no	optional	libs	False
libfontconfig1	2.13.1-4.2	amd64	fontconfig	2.13.1-4.2	same	no	optional	libs	False
libfontembed1	1.28.7-1+deb11u2	amd64	cups-filters	1.28.7-1+deb11u2	same	no	optional	libs	False
libfontenc1	1:1.1.4-1	amd64	libfontenc	1:1.1.4-1	same	no	optional	libs	False
libfreetype6	2.10.4+dfsg-1+deb11u1	amd64	freetype	2.10.4+dfsg-1+deb11u1	same	no	optional	libs	False
libfribidi0	1.0.8-2+deb11u1	amd64	fribidi	1.0.8-2+deb11u1	same	no	optional	libs	False
libfuse2	2.9.9-5	amd64	fuse	2.9.9-5	same	no	optional	libs	False
libgbm1	20.3.5-1	amd64	mesa	20.3.5-1	same	no	optional	libs	False
libgcc-s1	10.2.1-6	amd64	gcc-10	10.2.1-6	same	no	optional	libs	False
libgck-1-0	3.38.1-2	amd64	gcr	3.38.1-2	same	no	optional	libs	False
libgconf-2-4	3.2.6-7	amd64	gconf	3.2.6-7	same	no	optional	libs	False
libgcr-base-3-1	3.38.1-2	amd64	gcr	3.38.1-2	same	no	optional	libs	False
libgcr-ui-3-1	3.38.1-2	amd64	gcr	3.38.1-2	same	no	optional	libs	False
libgcrypt20	1.8.7-6	amd64	libgcrypt20	1.8.7-6	same	no	optional	libs	False
libgd3	2.3.0-2	amd64	libgd2	2.3.0-2	same	no	optional	libs	False
libgdata-common	0.17.13-3	all	libgdata	0.17.13-3	foreign	no	optional	libs	False
libgdata22	0.17.13-3	amd64	libgdata	0.17.13-3	same	no	optional	libs	False
libgdbm-compat4	1.19-2	amd64	gdbm	1.19-2	same	no	optional	libs	False
libgdbm6	1.19-2	amd64	gdbm	1.19-2	same	no	optional	libs	False
libgdk-pixbuf-2.0-0	2.42.2+dfsg-1+deb11u1	amd64	gdk-pixbuf	2.42.2+dfsg-1+deb11u1	same	no	optional	libs	False
libgdk-pixbuf-xlib-2.0-0	2.40.2-2	amd64	gdk-pixbuf-xlib	2.40.2-2	same	no	optional	oldlibs	False
libgdk-pixbuf2.0-0	2.40.2-2	amd64	gdk-pixbuf-xlib	2.40.2-2	same	no	optional	oldlibs	False
libgdk-pixbuf2.0-bin	2.42.2+dfsg-1+deb11u1	amd64	gdk-pixbuf	2.42.2+dfsg-1+deb11u1	foreign	no	optional	libs	False
libgdk-pixbuf2.0-common	2.42.2+dfsg-1+deb11u1	all	gdk-pixbuf	2.42.2+dfsg-1+deb11u1	foreign	no	optional	libs	False
libgdm1	3.38.2.1-1	amd64	gdm3	3.38.2.1-1		no	optional	libs	False
libgee-0.8-2	0.20.4-1	amd64	libgee-0.8	0.20.4-1	same	no	optional	libs	False
libgeoclue-2-0	2.5.7-3	amd64	geoclue-2.0	2.5.7-3	same	no	optional	libs	False
libgeocode-glib0	3.26.2-2	amd64	geocode-glib	3.26.2-2	same	no	optional	libs	False
libges-1.0-0	1.18.4-2	amd64	gstreamer-editing-services1.0	1.18.4-2		no	optional	libs	False
libgexiv2-2	0.12.1-1	amd64	gexiv2	0.12.1-1	same	no	optional	libs	False
libgfortran5	10.2.1-6	amd64	gcc-10	10.2.1-6	same	no	optional	libs	False
libgif7	5.1.9-2	amd64	giflib	5.1.9-2	same	no	optional	libs	False
libgirepository-1.0-1	1.66.1-1+b1	amd64	gobject-introspection	1.66.1-1	same	no	optional	libs	False
libgjs0g	1.66.2-1	amd64	gjs	1.66.2-1	same	no	optional	libs	False
libgl1	1.3.2-1	amd64	libglvnd	1.3.2-1	same	no	optional	libs	False
libgl1-mesa-dri	20.3.5-1	amd64	mesa	20.3.5-1	same	no	optional	libs	False
libgladeui-2-13	3.38.2-2	amd64	glade	3.38.2-2	same	no	optional	libs	False
libgladeui-common	3.38.2-2	all	glade	3.38.2-2	foreign	no	optional	libs	False
libglapi-mesa	20.3.5-1	amd64	mesa	20.3.5-1	same	no	optional	libs	False
libgles2	1.3.2-1	amd64	libglvnd	1.3.2-1	same	no	optional	libs	False
libglib-object-introspection-perl	0.049-1+b1	amd64	libglib-object-introspection-perl	0.049-1		no	optional	perl	False
libglib-perl	3:1.329.3-1+b1	amd64	libglib-perl	3:1.329.3-1	same	no	optional	perl	False
libglib2.0-0	2.66.8-1	amd64	glib2.0	2.66.8-1	same	no	optional	libs	False
libglib2.0-bin	2.66.8-1	amd64	glib2.0	2.66.8-1	foreign	no	optional	misc	False
libglib2.0-data	2.66.8-1	all	glib2.0	2.66.8-1	foreign	no	optional	libs	False
libglibmm-2.4-1v5	2.64.2-2	amd64	glibmm2.4	2.64.2-2	same	no	optional	libs	False
libglu1-mesa	9.0.1-1	amd64	libglu	9.0.1-1	same	no	optional	libs	False
libglvnd0	1.3.2-1	amd64	libglvnd	1.3.2-1	same	no	optional	libs	False
libglx-mesa0	20.3.5-1	amd64	mesa	20.3.5-1	same	no	optional	libs	False
libglx0	1.3.2-1	amd64	libglvnd	1.3.2-1	same	no	optional	libs	False
libgme0	0.6.3-2	amd64	game-music-emu	0.6.3-2	same	no	optional	libs	False
libgmp10	2:6.2.1+dfsg-1+deb11u1	amd64	gmp	2:6.2.1+dfsg-1+deb11u1	same	no	optional	libs	False
libgnome-autoar-0-0	0.2.4-3	amd64	gnome-autoar	0.2.4-3	same	no	optional	libs	False
libgnome-bluetooth13	3.34.3-2+grm3u1	amd64	gnome-bluetooth	3.34.3-2+grm3u1	same	no	optional	libs	True
libgnome-desktop-3-19	3.38.5-3	amd64	gnome-desktop3	3.38.5-3	same	no	optional	libs	False
