source	source_version	binary_packages	custom_candidate
libsepol	3.1-1	libsepol1	False
libshout	2.4.5-1	libshout3	False
libsidplay	1.36.60-1	libsidplay1v5	False
libsigc++-2.0	2.10.4-2	libsigc++-2.0-0v5	False
libsm	2:1.2.3-1	libsm6	False
libsndfile	1.0.31-2	libsndfile1	False
libsodium	1.0.18-1	libsodium23	False
libsoup2.4	2.72.0-2	gir1.2-soup-2.4,libsoup-gnome2.4-1,libsoup2.4-1	False
libsoxr	0.1.3-4	libsoxr0	False
libsrtp2	2.3.0-5	libsrtp2-1	False
libssh	0.9.7-0+deb11u1	libssh-gcrypt-4	False
libssh2	1.9.0-2	libssh2-1	False
libtasn1-6	4.16.0-2+deb11u1	libtasn1-6	False
libteam	1.31-1	libteamdctl0	False
libtext-charwidth-perl	0.04-10	libtext-charwidth-perl	False
libtext-iconv-perl	1.7-7	libtext-iconv-perl	False
libtext-wrapi18n-perl	0.06-9	libtext-wrapi18n-perl	False
libthai	0.1.28-3	libthai-data,libthai0	False
libtheora	1.1.1+dfsg.1-15	libtheora0	False
libtirpc	1.3.1-1+deb11u1	libtirpc-common,libtirpc3	False
libtool	2.4.6-15	libltdl7	False
libudfread	1.1.1-1	libudfread0	False
libunistring	0.9.10-4	libunistring2	False
libunwind	1.3.2-2	libunwind8	False
libusb-1.0	2:1.0.24-3	libusb-1.0-0	False
libusbmuxd	2.0.2-3	libusbmuxd6	False
libva	2.10.0-1	libva-drm2,libva-wayland2,libva-x11-2,libva2	False
libvdpau	1.4-3	libvdpau1	False
libvidstab	1.1.0-2	libvidstab1.1	False
libvisual	0.4.0-17	libvisual-0.4-0	False
libvorbis	1.3.7-1	libvorbis0a,libvorbisenc2,libvorbisfile3	False
libvpx	1.9.0-1	libvpx6	False
libwacom	1.8-2	libwacom-common,libwacom2	False
libwebp	0.6.1-2.1+deb11u1	libwebp6,libwebpdemux2,libwebpmux3	False
libwnck3	3.36.0-1	gir1.2-wnck-3.0,libwnck-3-0,libwnck-3-common	False
libwpe	1.10.0-2	libwpe-1.0-1	False
libx11	2:1.7.2-1+deb11u1	libx11-6,libx11-data,libx11-xcb1	False
libxau	1:1.0.9-1	libxau6	False
libxaw	2:1.0.13-1.1	libxaw7	False
libxcb	1.14-3	libxcb-dri2-0,libxcb-dri3-0,libxcb-glx0,libxcb-present0,libxcb-randr0,libxcb-render0,libxcb-shape0,libxcb-shm0,libxcb-sync1,libxcb-xfixes0,libxcb-xinerama0,libxcb-xinput0,libxcb-xkb1,libxcb1	False
libxcomposite	1:0.4.5-1	libxcomposite1	False
libxcrypt	1:4.4.18-4	libcrypt1	False
libxcursor	1:1.2.0-2	libxcursor1	False
libxdamage	1:1.1.5-2	libxdamage1	False
libxdmcp	1:1.1.2-3	libxdmcp6	False
libxext	2:1.3.3-1.1	libxext6	False
libxfixes	1:5.0.3-2	libxfixes3	False
libxfont	1:2.0.4-1	libxfont2	False
libxi	2:1.7.10-1	libxi6	False
libxinerama	2:1.1.4-2	libxinerama1	False
libxkbcommon	1.0.3-2	libxkbcommon-x11-0,libxkbcommon0,libxkbregistry0	False
libxkbfile	1:1.1.0-1	libxkbfile1	False
libxklavier	5.4-4	libxklavier16	False
libxml2	2.9.10+dfsg-6.7+deb11u4	libxml2	False
libxmu	2:1.1.2-2	libxmu6,libxmuu1	False
libxpm	1:3.5.12-1.1~deb11u1	libxpm4	False
libxpresent	1.0.0-2	libxpresent1	False
libxrandr	2:1.5.1-1	libxrandr2	False
libxrender	1:0.9.10-1	libxrender1	False
libxres	2:1.2.0-4	libxres1	False
libxshmfence	1.3-1	libxshmfence1	False
libxslt	1.1.34-4+deb11u1	libxslt1.1	False
libxss	1:1.2.3-1	libxss1	False
libxt	1:1.2.0-1	libxt6	False
libxtst	2:1.2.3-1	libxtst6	False
libxv	2:1.0.11-1	libxv1	False
libxvmc	2:1.0.12-2	libxvmc1	False
libxxf86dga	2:1.1.4-1	libxxf86dga1	False
libxxf86vm	1:1.1.4-1	libxxf86vm1	False
libyaml	0.2.2-1	libyaml-0-2	False
libzstd	1.4.8+dfsg-2.1	libzstd1	False
lightdm	1.26.0-7+grm3u1	liblightdm-gobject-1-0,lightdm	False
lilv	0.24.12-2	liblilv-0-0	False
linux	5.10.179-1+grm3u1	linux-image-5.10.0-23-amd64	False
linux-base	4.6	linux-base	False
linux-signed-amd64	5.10.179+1+grm3u1	linux-image-amd64	False
live-boot	1:20210208	live-boot,live-boot-initramfs-tools	False
live-config	11.0.3+grm3u1	live-config,live-config-systemd	False
live-installer	2023.06.30+han3u1	live-installer	True
live-tools	1:20190831	live-tools	False
llvm-toolchain-11	1:11.0.1-2	libllvm11	False
lm-sensors	1:3.6.0-7	libsensors-config,libsensors5	False
lmdb	0.9.24-1	liblmdb0	False
logrotate	3.18.0-2+deb11u1	logrotate	False
lsb	11.1.0	lsb-base,lsb-release	False
lsof	4.93.2+dfsg-1.1	lsof	False
lua-bitop	1.0.2-5	lua-bitop	False
lua-expat	1.3.0-4	lua-expat	False
lua-json	1.3.4-2	lua-json	False
lua-lpeg	1.0.2-1	lua-lpeg	False
lua5.2	5.2.4-1.1	liblua5.2-0	False
luasocket	3.0~rc1+git+ac3201d-4	lua-socket	False
lvm2	2.03.11-2.1	dmsetup,libdevmapper1.02.1	False
lz4	1.9.3-2	liblz4-1	False
lzo2	2.10-2	liblzo2-2	False
m2300w	0.51-14	printer-driver-m2300w	False
mailcap	3.69	mailcap	False
malcontent	0.10.0-2	gir1.2-malcontent-0,libmalcontent-0-0,libmalcontent-ui-0-0,malcontent,malcontent-gui	False
man-db	2.9.4-2	man-db	False
mawk	1.3.4.20200120-2	mawk	False
md4c	0.4.7-2	libmd4c0	False
mdadm	4.1-11	mdadm	False
media-types	4.0.0	media-types	False
menu	2.1.48	menu	False
mesa	20.3.5-1	libegl-mesa0,libgbm1,libgl1-mesa-dri,libglapi-mesa,libglx-mesa0,libxatracker2	False
metacity	1:3.38.0-2+grm3u1	libmetacity3,metacity,metacity-common	False
mime-support	3.66	mime-support	False
min12xxw	0.0.9-11	printer-driver-min12xxw	False
minizip	1.1-8	libminizip1	False
mjpegtools	1:2.1.0+debian-6	libmjpegutils-2.1-0,libmpeg2encpp-2.1-0,libmplex2-2.1-0	False
modemmanager	1.14.12-0.2	libmm-glib0	False
moka-icon-theme	5.4.0.3-1	moka-icon-theme	False
mousetweaks	3.32.0-3+grm3u1	mousetweaks	False
mozjs78	78.4.0-2	libmozjs-78-0	False
mpclib3	1.2.0-1	libmpc3	False
mpdecimal	2.5.1-1	libmpdec3	False
mpeg2dec	0.5.1-9	libmpeg2-4	False
mpfr4	4.1.0-3	libmpfr6	False
mpg123	1.26.4-1	libmpg123-0	False
mpv	0.32.0-3	libmpv1	False
mtdev	1.1.6-1	libmtdev1	False
nano	5.4-2+deb11u2	nano	False
nautilus	3.38.2-1+deb11u1+grm3u8	libnautilus-extension1a,nautilus,nautilus-data	False
ncurses	6.2+20201114-2+deb11u1	libncurses6,libncursesw6,libtinfo6,ncurses-base,ncurses-bin	False
neon27	0.31.2-1	libneon27	False
net-snmp	5.9+dfsg-4+deb11u1	libsnmp-base,libsnmp40	False
netbase	6.3	netbase	False
netifaces	0.10.9-0.2	python3-netifaces	False
nettle	3.7.3-1	libhogweed6,libnettle8	False
network-manager	1.30.0-2+grm3u3	libnm0,network-manager	False
network-manager-applet	1.20.0-3+grm3u4	network-manager-gnome	False
network-manager-openvpn	1.8.12-2	network-manager-openvpn,network-manager-openvpn-gnome	False
newt	0.52.21-4	libnewt0.52,whiptail	False
nftables	0.9.8-3.1+deb11u1	libnftables1,nftables	False
nghttp2	1.43.0-1	libnghttp2-14	False
nimf	2023.06.30+grm3u1	libnimf1,nimf,nimf-libhangul	True
norm	1.5.9+dfsg-2	libnorm1	False
npth	1.6-3	libnpth0	False
nspr	2:4.29-1	libnspr4	False
nss	2:3.61-1+deb11u3	libnss3	False
ntfs-3g	1:2017.3.23AR.3-4+deb11u3	libntfs-3g883,ntfs-3g	False
numactl	2.0.12-1	libnuma1	False
numix-icon-theme	0~20190920-1	numix-icon-theme	False
numix-icon-theme-circle	20.09.19-1	numix-icon-theme-circle	False
numpy	1:1.19.5-1	python3-numpy	False
nvidia-graphics-drivers-tesla-470	470.182.03-1~deb11u1	nvidia-tesla-470-alternative,nvidia-tesla-470-kernel-support	False
nvidia-modprobe	470.182.03-1	nvidia-modprobe	False
nvidia-settings	470.141.03-1~deb11u1	libxnvctrl0	False
nvidia-support	20151021+13	nvidia-installer-cleanup,nvidia-kernel-common	False
ocl-icd	2.2.14-2	ocl-icd-libopencl1	False
openal-soft	1:1.19.1-2	libopenal-data,libopenal1	False
opencore-amr	0.1.5-1	libopencore-amrnb0,libopencore-amrwb0	False
openexr	2.5.4-2+deb11u1	libopenexr25	False
openjpeg2	2.4.0-3	libopenjp2-7	False
openldap	2.4.57+dfsg-3+deb11u1	libldap-2.4-2	False
openni2	2.2.0.33+dfsg-15	libopenni2-0	False
openssl	1.1.1n-0+deb11u5	libssl1.1,openssl	False
openvpn	2.5.1-3	openvpn	False
opus	1.3.1-0.1	libopus0	False
orc	1:0.4.32-1	liborc-0.4-0	False
os-prober	1.79	os-prober	False
osinfo-db	0.20210215-1	osinfo-db	False
ostree	2020.8-2+deb11u1	libostree-1-1	False
p11-kit	0.23.22-1	libp11-kit0,p11-kit,p11-kit-modules	False
p7zip	16.02+dfsg-8+grm3u1	p7zip,p7zip-full	False
packagekit	1.2.2-2	gir1.2-packagekitglib-1.0,libpackagekit-glib2-18,packagekit,packagekit-tools	False
pam	1.4.0-9+deb11u1	libpam-modules,libpam-modules-bin,libpam-runtime,libpam0g	False
pam-gooroom	0.4.3+grm3u1	pam-gooroom	True
pango1.0	1.46.2-3	gir1.2-pango-1.0,libpango-1.0-0,libpangocairo-1.0-0,libpangoft2-1.0-0,libpangoxft-1.0-0	False
pangomm	2.42.1-1	libpangomm-1.4-1v5	False
papirus-icon-theme	20210201-1	papirus-icon-theme	False
parted	3.4-1	libparted-fs-resize0,libparted2,parted	False
pci.ids	0.0~2021.02.08-1	pci.ids	False
pciutils	1:3.7.0-5	libpci3	False
pcre2	10.36-2+deb11u1	libpcre2-16-0,libpcre2-8-0	False
pcre3	2:8.39-13	libpcre3	False
pcsc-lite	1.9.1-1	libpcsclite1	False
perl	5.32.1-4+deb11u2	libperl5.32,perl,perl-base,perl-modules-5.32	False
pillow	8.1.2+dfsg-0.3+deb11u1	python3-pil	False
pinentry	1.1.0-4	pinentry-curses,pinentry-gnome3	False
pipewire	0.3.19-4	libpipewire-0.3-0,libspa-0.2-modules	False
pixman	0.40.0-1.1~deb11u1	libpixman-1-0	False
pkcs11-helper	1.27-1	libpkcs11-helper1	False
pkg-config	0.29.2-1	pkg-config	False
plymouth	0.9.5-3	libplymouth5,plymouth	False
pnm2ppa	1.13-10	printer-driver-pnm2ppa	False
pocketsphinx	0.8+5prealpha+1-13	libpocketsphinx3	False
policykit-1	0.105-31+nDeb11u1+grm3u1	gir1.2-polkit-1.0,libpolkit-agent-1-0,libpolkit-gobject-1-0,policykit-1	False
poppler	20.09.0-3.1+deb11u1	libpoppler-cpp0v5,libpoppler-glib8,libpoppler102,poppler-utils	False
poppler-data	0.4.10-1	poppler-data	False
popt	1.18-2	libpopt0	False
printing-metas	0.20200223	printer-driver-all	False
procps	2:3.3.17-5	libprocps8,procps	False
psmisc	23.4-2	psmisc	False
ptouch-driver	1.5.1-2	printer-driver-ptouch	False
pulseaudio	14.2-2	libpulse-mainloop-glib0,libpulse0,libpulsedsp,pulseaudio,pulseaudio-module-bluetooth,pulseaudio-utils	False
pxljr	1.4+repack0-5	printer-driver-pxljr	False
py3dns	3.2.1-1	python3-dns	False
pycairo	1.16.2-4	python3-cairo	False
pygobject	3.38.0-2	python3-gi,python3-gi-cairo	False
pyinotify	0.9.6-1.3	python3-pyinotify	False
pyopenssl	20.0.1-1	python3-openssl	False
pyparted	3.11.7-0.1	python3-parted	False
pyqt5	5.15.2+dfsg-3	python3-pyqt5	False
pyqt5-sip	12.8.1-1	python3-pyqt5.sip	False
python-apt	2.2.1	python-apt-common,python3-apt	False
python-certifi	2020.6.20-1	python3-certifi	False
python-cffi	1.14.5-1	python3-cffi-backend	False
python-cryptography	3.3.2-1	python3-cryptography	False
python-cups	2.0.1-4	python3-cups	False
python-debian	0.1.39	python3-debian	False
python-distro	1.5.0-1	python3-distro	False
python-gnupg	0.4.6-1	python3-gnupg	False
python-httplib2	0.18.1-3	python3-httplib2	False
python-idna	2.10-1	python3-idna	False
python-iptables	1.0.0-1	python3-iptables	False
python-psutil	5.8.0-1	python3-psutil	False
python-systemd	234-3	python3-systemd	False
python-urllib3	1.26.5-1~exp1	python3-urllib3	False
python-xlib	0.29-1	python3-xlib	False
python2.7	2.7.18-8	libpython2.7-minimal,libpython2.7-stdlib,python2.7,python2.7-minimal	False
python3-defaults	3.9.2-3	libpython3-stdlib,python3,python3-minimal	False
python3-stdlib-extensions	3.9.2-1	python3-distutils,python3-lib2to3	False
python3.9	3.9.2-1	libpython3.9,libpython3.9-minimal,libpython3.9-stdlib,python3.9,python3.9-minimal	False
pyudev	0.22.0-2	python3-pyudev	False
pyxdg	0.27-2	python3-xdg	False
qpdf	10.1.0-1	libqpdf28	False
qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	libqt5core5a,libqt5dbus5,libqt5gui5,libqt5network5,libqt5printsupport5,libqt5sql5,libqt5test5,libqt5widgets5,libqt5xml5	False
qttools-opensource-src	5.15.2-5	libqt5designer5,libqt5help5	False
rastertosag-gdi	0.1-7	printer-driver-sag-gdi	False
re2	20210201+dfsg-1	libre2-9	False
readline	8.1-1	libreadline8,readline-common	False
requests	2.25.1+dfsg-2	python3-requests	False
rsync	3.2.3-4+deb11u1	rsync	False
rsyslog	8.2102.0-2+deb11u1	rsyslog	False
rtmpdump	2.4+20151223.gitfa8646d.1-2	librtmp1	False
rubberband	1.9.0-1	librubberband2	False
rygel	0.40.0-1	librygel-core-2.6-2,librygel-db-2.6-2,librygel-renderer-2.6-2,librygel-server-2.6-2,rygel	False
samba	2:4.13.13+dfsg-1~deb11u5	libsmbclient,libwbclient0,samba-libs	False
sane-backends	1.0.31-4.1	libsane-common,libsane1	False
sbc	1.5-3	libsbc1	False
scowl	2019.10.06-1	hunspell-en-us	False
sed	4.7-1	sed	False
sensible-utils	0.0.14	sensible-utils	False
serd	0.30.10-2	libserd-0-0	False
setuptools	52.0.0-4	python3-pkg-resources	False
shadow	1:4.8.1-1	login,passwd	False
shared-mime-info	2.0-1	shared-mime-info	False
shine	3.1.1-2	libshine3	False
simplejson	3.17.2-1	python3-simplejson	False
six	1.16.0-2	python3-six	False
slang2	2.3.2-5	libslang2	False
snappy	1.1.8-1	libsnappy1v5	False
sndio	1.5.0-3	libsndio7.0	False
snowball	2.1.0-1	libstemmer0d	False
sord	0.16.8-2	libsord-0-0	False
sound-theme-freedesktop	0.8-2	sound-theme-freedesktop	False
soundtouch	2.2+ds1-2	libsoundtouch1	False
spandsp	0.0.6+dfsg-2	libspandsp2	False
speex	1.2~rc1.2-1.1	libspeex1,libspeexdsp1	False
sphinxbase	0.8+5prealpha+1-12	libsphinxbase3	False
splix	2.0.0+svn315-7	printer-driver-splix	False
sqlite3	3.34.1-3	libsqlite3-0	False
sratom	0.6.8-1	libsratom-0-0	False
srt	1.4.2-1.3	libsrt1.4-gnutls	False
ssl-cert	1.1.0+nmu1	ssl-cert	False
startpar	0.64-3	startpar	False
startup-notification	0.12-6	libstartup-notification0	False
sudo	1.9.5p2-3+deb11u1	sudo	False
synaptic	0.90.2+grm3u3	synaptic	False
system-config-printer	1.5.14-1+grm3u1	python3-cupshelpers,system-config-printer,system-config-printer-common	False
systemd	247.3-7+deb11u4	libpam-systemd,libsystemd0,libudev1,systemd,systemd-sysv,systemd-timesyncd,udev	False
sysvinit	2.96-7+deb11u1	sysv-rc,sysvinit-utils	False
taglib	1.11.1+dfsg.1-3	libtag1v5,libtag1v5-vanilla	False
talloc	2.3.1-2	libtalloc2,python3-talloc	False
tar	1.34+dfsg-1	tar	False
tasksel	3.68+deb11u1	tasksel,tasksel-data	False
tcp-wrappers	7.6.q-31	libwrap0	False
tdb	1.4.3-1	libtdb1	False
telepathy-glib	0.24.1-3	libtelepathy-glib0	False
tepl	5.0.1-2	libtepl-5-0	False
tevent	0.10.2-1	libtevent0	False
tiff	4.2.0-1+deb11u4	libtiff5	False
timgm6mb-soundfont	1.3-5	timgm6mb-soundfont	False
totem-pl-parser	3.26.5-5	libtotem-plparser-common,libtotem-plparser18	False
tracker	2.3.6-2	libtracker-control-2.0-0,libtracker-miner-2.0-0,libtracker-sparql-2.0-0,tracker	False
tracker-miners	2.3.5-2.1	tracker-extract,tracker-miner-fs	False
trousers	0.3.14+fixed1-1.2	libtspi1	False
tumbler	4.16.0-1	libtumbler-1-0,tumbler,tumbler-common	False
twolame	0.4.0-2	libtwolame0	False
tzdata	2021a-1+deb11u10	tzdata	False
ucf	3.0043	ucf	False
uchardet	0.0.7-1	libuchardet0	False
udisks2	2.9.2-2+deb11u1	libudisks2-0,udisks2	False
unzip	6.0-26+deb11u1	unzip	False
upower	0.99.11-2	libupower-glib3,upower	False
usb.ids	2023.01.16-0+deb11u1	usb.ids	False
user-setup	1.88	user-setup	False
util-linux	2.36.1-8+deb11u1	bsdextrautils,bsdutils,eject,fdisk,libblkid1,libfdisk1,libmount1,libsmartcols1,libuuid1,mount,util-linux	False
v4l-utils	1.20.0-2	libv4l-0,libv4lconvert0	False
vim	2:8.2.2434-3+deb11u1	vim-common,vim-tiny,xxd	False
vo-aacenc	0.1.3-2	libvo-aacenc0	False
vo-amrwbenc	0.1.3-2	libvo-amrwbenc0	False
volume-key	0.3.12-3.1	libvolume-key1	False
vte2.91	0.62.3-1	gir1.2-vte-2.91,libvte-2.91-0,libvte-2.91-common	False
vulkan-loader	1.2.162.0-1	libvulkan1	False
wavpack	5.4.0-1	libwavpack1	False
wayland	1.18.0-2~exp1.1	libwayland-client0,libwayland-cursor0,libwayland-egl1,libwayland-server0	False
webkit2gtk	2.40.3-2~deb11u2	gir1.2-javascriptcoregtk-4.0,gir1.2-webkit2-4.0,libjavascriptcoregtk-4.0-18,libwebkit2gtk-4.0-37	False
webrtc-audio-processing	0.3-1	libwebrtc-audio-processing1	False
wget	1.21-1+deb11u1	wget	False
wildmidi	0.4.3-1	libwildmidi2	False
woff2	1.0.2-1	libwoff1	False
wpa	2:2.9.0-21	wpasupplicant	False
wpebackend-fdo	1.8.0-1	libwpebackend-fdo-1.0-1	False
x11-apps	7.7+8	x11-apps	False
x11-session-utils	7.7+4	x11-session-utils	False
x11-utils	7.7+5	x11-utils	False
x11-xkb-utils	7.7+5	x11-xkb-utils	False
x11-xserver-utils	7.7+8	x11-xserver-utils	False
x264	2:0.160.3011+gitcde9a93-2.1	libx264-160	False
x265	3.4-2	libx265-192	False
xapian-core	1.4.18-3+deb11u1	libxapian30	False
xauth	1:1.1-1	xauth	False
xawtv	3.107-1	streamer,xawtv-plugins	False
xcb-util	0.4.0-1	libxcb-util1	False
xcb-util-image	0.4.0-1	libxcb-image0	False
xcb-util-keysyms	0.4.0-1	libxcb-keysyms1	False
xcb-util-renderutil	0.3.9-1	libxcb-render-util0	False
xcb-util-wm	0.4.1-1.1	libxcb-icccm4	False
xdg-dbus-proxy	0.1.2-2	xdg-dbus-proxy	False
xdg-desktop-portal	1.8.1-1	xdg-desktop-portal	False
xdg-desktop-portal-gtk	1.8.0-1	xdg-desktop-portal-gtk	False
xdg-user-dirs	0.17-2	xdg-user-dirs	False
xdg-utils	1.1.3-4.1	xdg-utils	False
xf86-input-wacom	0.34.99.1-1	xserver-xorg-input-wacom	False
xfonts-encodings	1:1.0.4-2.1	xfonts-encodings	False
xfonts-utils	1:7.7+6	xfonts-utils	False
xft	2.3.2-2	libxft2	False
xinit	1.4.0-1	xinit	False
xkeyboard-config	2.29-2	xkb-data	False
xorg	1:7.7+22	x11-common,xbase-clients,xserver-xorg,xserver-xorg-input-all,xserver-xorg-video-all,xutils	False
xorg-server	2:1.20.11-1+deb11u6	xserver-common,xserver-xorg-core,xserver-xorg-legacy,xwayland	False
xserver-xorg-input-libinput	0.30.0-1	xserver-xorg-input-libinput	False
xserver-xorg-video-amdgpu	19.1.0-2	xserver-xorg-video-amdgpu	False
xserver-xorg-video-ati	1:19.1.0-2	xserver-xorg-video-ati,xserver-xorg-video-radeon	False
xserver-xorg-video-fbdev	1:0.5.0-1	xserver-xorg-video-fbdev	False
xserver-xorg-video-intel	2:2.99.917+git20200714-1+deb11u1	xserver-xorg-video-intel	False
xserver-xorg-video-nouveau	1:1.0.17-1	xserver-xorg-video-nouveau	False
xserver-xorg-video-qxl	0.1.5+git20200331-1	xserver-xorg-video-qxl	False
xserver-xorg-video-vesa	1:2.5.0-1	xserver-xorg-video-vesa	False
xserver-xorg-video-vmware	1:13.3.0-3	xserver-xorg-video-vmware	False
xvidcore	2:1.3.7-1	libxvidcore4	False
xxhash	0.8.0-2	libxxhash0	False
xz-utils	5.2.5-2.1~deb11u1	liblzma5,xz-utils	False
yelp	3.38.3-1+han3u3	libyelp0,yelp	False
yelp-xsl	3.38.3-1	yelp-xsl	False
z3	4.8.10-1	libz3-4	False
zbar	0.23.90-1	libzbar0	False
zeitgeist	1.0.3-4	libzeitgeist-2.0-0,python3-zeitgeist,zeitgeist,zeitgeist-core,zeitgeist-datahub	False
zenity	3.32.0-6	zenity,zenity-common	False
zeromq3	4.3.4-1	libzmq5	False
zip	3.0-12	zip	False
zlib	1:1.2.11.dfsg-2+deb11u2	zlib1g	False
zvbi	0.2.35-18	libzvbi-common,libzvbi0	False
