source	source_version	binary_packages	custom_candidate
emacsen-common	3.0.4	emacsen-common	False
enchant-2	2.2.15-1	libenchant-2-2	False
eog	3.38.2-1+grm3u4	eog	False
epson-inkjet-printer-escpr	1.7.8-1	printer-driver-escpr	False
evolution-data-server	3.38.3-1+deb11u2	evolution-data-server-common,libcamel-1.2-62,libecal-2.0-1,libedataserver-1.2-25	False
exempi	2.5.2-1	libexempi8	False
exfat-utils	1.3.0-2	exfat-utils	False
exiv2	0.27.3-3+deb11u2	libexiv2-27	False
expat	2.2.10-2+deb11u5	libexpat1	False
faad2	2.10.0-1	libfaad2	False
faba-icon-theme	4.3-1	faba-icon-theme	False
faenza-icon-theme	1.3.1-1.1	faenza-icon-theme	False
ffmpeg	7:4.3.6-0+deb11u1	libavcodec58,libavdevice58,libavfilter7,libavformat58,libavresample4,libavutil56,libpostproc55,libswresample3,libswscale5	False
fftw3	3.3.8-2	libfftw3-double3,libfftw3-single3	False
file	1:5.39-3	file,libmagic-mgc,libmagic1	False
file-roller	3.38.1-1+grm3u3	file-roller	False
findutils	4.8.0-1	findutils	False
firmware-free	20200122-1	firmware-linux-free	False
firmware-nonfree	20210315-3	firmware-amd-graphics,firmware-atheros,firmware-bnx2,firmware-bnx2x,firmware-brcm80211,firmware-cavium,firmware-intel-sound,firmware-intelwimax,firmware-ipw2x00,firmware-ivtv,firmware-iwlwifi,firmware-libertas,firmware-linux,firmware-linux-nonfree,firmware-misc-nonfree,firmware-myricom,firmware-netronome,firmware-netxen,firmware-qcom-media,firmware-qcom-soc,firmware-qlogic,firmware-realtek,firmware-samsung,firmware-siano,firmware-ti-connectivity	False
firmware-sof	1.7-1	firmware-sof-signed	False
flac	1.3.3-2+deb11u1	libflac8	False
flat-remix-gtk-theme	0.3.0+grm3u1	flat-remix-gtk-theme	False
flatpak	1.10.8-0+deb11u1	flatpak,libflatpak0	False
flite	2.2-2	libflite1	False
fluidsynth	2.1.7-1.1	libfluidsynth2	False
fontconfig	2.13.1-4.2	fontconfig,fontconfig-config,libfontconfig1	False
fonts-dejavu	2.37-2	fonts-dejavu-core	False
fonts-nanum	20200506-1	fonts-nanum,fonts-nanum-extra	False
fonts-naver-d2coding	1.3.2-2	fonts-naver-d2coding	False
fonts-noto-cjk	1:20201206-cjk+repack1-1	fonts-noto-cjk	False
fonts-quicksand	0.2016-2.1	fonts-quicksand	False
fonts-urw-base35	20200910-1	fonts-urw-base35	False
foo2zjs	20200505dfsg0-1	printer-driver-foo2zjs,printer-driver-foo2zjs-common	False
foomatic-db	20200820-1	foomatic-db-compressed-ppds,openprinting-ppds	False
freetype	2.10.4+dfsg-1+deb11u1	libfreetype6	False
fribidi	1.0.8-2+deb11u1	libfribidi0	False
fsarchiver	0.8.6-1	fsarchiver	False
fuse	2.9.9-5	fuse,libfuse2	False
fuse-exfat	1.3.0-2	exfat-fuse	False
game-music-emu	0.6.3-2	libgme0	False
gcc-10	10.2.1-6	cpp-10,gcc-10-base,libatomic1,libgcc-s1,libgfortran5,libgomp1,libquadmath0,libstdc++6	False
gcc-9	9.3.0-22	gcc-9-base	False
gcc-defaults	1.190	cpp	False
gconf	3.2.6-7	gconf-service,gconf2,gconf2-common,libgconf-2-4	False
gcr	3.38.1-2	gcr,libgck-1-0,libgcr-base-3-1,libgcr-ui-3-1	False
gdbm	1.19-2	libgdbm-compat4,libgdbm6	False
gdebi	0.9.5.7+nmu5-1+grm3u2	gdebi,gdebi-core	False
gdisk	1.0.6-1.1	gdisk	False
gdk-pixbuf	2.42.2+dfsg-1+deb11u1	gir1.2-gdkpixbuf-2.0,libgdk-pixbuf-2.0-0,libgdk-pixbuf2.0-bin,libgdk-pixbuf2.0-common	False
