source	version	authorized	authority	reason
gnome-flashback	3.38.0-2+grm3u2+han3u4	no		no recovered source authority passed all gates
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	no		no recovered source authority passed all gates
gooroom-guide	0.5.3+grm3u1+han3u1	no		no recovered source authority passed all gates
gooroom-integration-applet	0.3.1+grm3u1+han3u3	no		no recovered source authority passed all gates
gooroom-session-manager	0.3.9+grm3u1+han3u2	no		no recovered source authority passed all gates
linux	5.10.179-1+grm3u1	no		no recovered source authority passed all gates
qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	no		no recovered source authority passed all gates
