source	source_version	role	source_status	build_status	repository_full_name	commit_sha	tree_sha	amd64_binary_packages	reused_all_packages	build_evidence
accountsservice	0.6.55-3+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/accountsservice	706c15ce56c8facdad9733989d305840ad109de8	4efcdc4c26fe2ca5bfc4d009e0ab918fbf06f91d	accountsservice,libaccountsservice0		arm64/locks/rebuild-results/accountsservice/0.6.55-3+grm3u1/result.json
adduser	3.118+grm3u1	reuse-all	exact-locked	not-required	gooroom/adduser	e87eca4c870601b171882bd07f5a90ce866b5e70	b0d2c9f5aa79935f585634ad8a3440a9649a1298		adduser	
arc-icon-theme	20161113+grm3u1	reuse-all	exact-locked	not-required	gooroom/arc-icon-theme	ca7f7fd3dfe2d7be01fe57465b3a7f356a037159	ca26d7275638abc0c685aceb504c75679c78b4c5		arc-icon-theme	
arc-theme	20200513-1+grm2u1+han3u2	reuse-all	unresolved	not-required					arc-theme	
celluloid	0.20-2+grm3u6	rebuild-arm64	exact-locked	failed	gooroom/celluloid	cdd3121116796e31e0538e6c12c16d8b8f070b31	23fece2fc9e01cc75e10884e0206f3fd09982804	celluloid	gnome-mpv	arm64/locks/rebuild-results/celluloid/0.20-2+grm3u6/result.json
cups-pk-helper	0.2.6-1ubuntu3+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/cups-pk-helper	fead88f5fe9626f17bcba1cb9f3f2407c933dfb4	8e016f0c497e909186752f250d49ca1efb0ce561	cups-pk-helper		arm64/locks/rebuild-results/cups-pk-helper/0.2.6-1ubuntu3+grm3u1/result.json
debian-system-adjustments	3.2.1+grm3u1	reuse-all	exact-locked	not-required	gooroom/debian-system-adjustments	a6a0f5177684ecc172799192a21da63597fb56a7	eb11c72d52d5bac3e9663de73ef96245b24944ca		debian-system-adjustments	
dpkg	1.20.12+grm3u1	rebuild-arm64	exact-locked	pending	gooroom/dpkg	251444d812939e48e092400708ad3cd8ade36326	1a5c57b238149446b5ea4f2a76916b3e72d051ef	dpkg	libdpkg-perl	
eog	3.38.2-1+grm3u4	rebuild-arm64	exact-locked	failed	gooroom/eog	6db9c892f4b8b824cb49d0353dd74392235e02b9	6f2608b0ed80be8e4ed8f63b8930efd961bc921f	eog		arm64/locks/rebuild-results/eog/3.38.2-1+grm3u4/result.json
file-roller	3.38.1-1+grm3u3	rebuild-arm64	exact-locked	failed	gooroom/file-roller	c7f4b12b289f3b81f709d528af38e759514fd448	4435151f83ccebc9a2465ff272c992deaf949cdc	file-roller		arm64/locks/rebuild-results/file-roller/3.38.1-1+grm3u3/result.json
flat-remix-gtk-theme	0.3.0+grm3u1	reuse-all	exact-locked	not-required	gooroom/flat-remix-gtk-theme	64daf4d276372e4491275820f40ae26f64aaa95d	9872cabaa26f440666b585d8e104e8bb3299daa1		flat-remix-gtk-theme	
gdebi	0.9.5.7+nmu5-1+grm3u2	reuse-all	exact-locked	not-required	hancom-io/gdebi	26dc2b7b2971d58f9459aab5d243d41a7d90007a	caf3e4fd72b32128661ef4f5d2609e00346f72f1		gdebi,gdebi-core	
gedit	3.38.1-1+grm3u3	rebuild-arm64	exact-locked	failed	gooroom/gedit	a332db1abb2605e89e81b7c88f9c958607581dc1	3d2f30d1e6a87b2de8123f59773c72af6d36b168	gedit	gedit-common	arm64/locks/rebuild-results/gedit/3.38.1-1+grm3u3/result.json
gnome-bluetooth	3.34.3-2+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/gnome-bluetooth	377e4a327d5e26e2d202aab48da04d0a077d4f93	46ac22ded0d9e36d45ba2bd9ad5ae427f38cfca5	gnome-bluetooth,libgnome-bluetooth13		arm64/locks/rebuild-results/gnome-bluetooth/3.34.3-2+grm3u1/result.json
gnome-control-center	1:3.38.4-1+grm3u9	rebuild-arm64	exact-locked	pending	gooroom/gnome-control-center	55fd48f9dbf8d2bee0dea33478ed20e4867c9cbc	e4b8dd73f8668f6a30ac3fe333665b78cfa2d0f0	gnome-control-center	gnome-control-center-data	
gnome-flashback	3.38.0-2+grm3u2+han3u4	rebuild-arm64	unresolved	source-blocked				gnome-flashback	gnome-flashback-common,gnome-session-flashback	
gnome-panel	3.38.0-1+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/gnome-panel	e64437b876dd907b082bb3709541eb27997958ee	84a8082db1aaa90f83bacc5606a23e13c2addd0d	gnome-panel,libgnome-panel0	gnome-panel-data	arm64/locks/rebuild-results/gnome-panel/3.38.0-1+grm3u1/result.json
gnome-screenshot	3.38.0-1+grm3u2	rebuild-arm64	exact-locked	failed	gooroom/gnome-screenshot	0829ef62630f694dba017cc39f6422b777bd8396	d97cf1f6dfac3a1cc30679b0c5b63c47218d0bfb	gnome-screenshot		arm64/locks/rebuild-results/gnome-screenshot/3.38.0-1+grm3u2/result.json
gnome-settings-daemon	3.38.2-1+grm3u1	rebuild-arm64	exact-locked	pending	gooroom/gnome-settings-daemon	f94e8eaddd981096dc167d69848b24b085b33cc5	a5fec2ac6898a8b0ce9dffd4377e06ef497d61ba	gnome-settings-daemon	gnome-settings-daemon-common	
gooroom-agent-service	0.4.8+grm3u1	reuse-all	exact-locked	not-required	gooroom/gooroom-agent-service	e36c9c0934710e2d70cb1f7dcb1507410edfea52	c0e8dd80095abd6c81659006b783f1ec1c278d4c		gooroom-agent-service	
gooroom-applauncher-applet	0.4.0+grm3u1+han3u2	rebuild-arm64	unresolved	source-blocked				gooroom-applauncher-applet		
gooroom-archive-keyring	20201012+grm3u1	reuse-all	exact-locked	not-required	gooroom/gooroom-archive-keyring	d59dd39ec853898ed870c9fdcb688fefef143659	e806feedc6ec188f02816fadaf838cac3374e633		gooroom-archive-keyring	
gooroom-artwork-common	1.3.3+grm3u1	reuse-all	exact-locked	not-required	gooroom/gooroom-artwork-common	08af38619bf9b88be33bab7fa5e021288c88fdd9	c9300216251965461e95420e82793a2fc7b3d510		gooroom-artwork-common	
gooroom-artwork-gnome-flashback	0.4.4+grm3u1	reuse-all	exact-locked	not-required	gooroom/gooroom-artwork-gnome-flashback	dfc53a6dda50a0544de9f5f0b5caf1bd44c57ae9	079be5b3127f1a4ff89d09a4adc5d14e95605798		gooroom-artwork-gnome-flashback	
gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1	reuse-all	unresolved	not-required					gooroom-bootsplash-theme	
gooroom-browser	3.5.0-1+grm3u3	rebuild-arm64	exact-locked	failed	gooroom/gooroom-browser	829ad92a98f523a79c7b30f3d5b604bfaef03eb0	4a5e691645dad54a2a9636dcc21870c66418f978	gooroom-browser	gooroom-browser-l10n	arm64/locks/rebuild-results/gooroom-browser/3.5.0-1+grm3u3/result.json
gooroom-client-server-register	1.1.1+han3u1	reuse-all	exact-locked	not-required	hancom-io/gooroom-client-server-register	a474ca61b38c16e841bcfcf10caa4437f1dfd37e	acaa957e544af01d396144fbdd066f380f9d419d		gooroom-client-server-register	
gooroom-dockbarx	1.3.0+grm3u3	reuse-all	exact-locked	not-required	gooroom/gooroom-dockbarx	30c8db06001137852e6ea5b6b926711a4f9f5109	12b0945e3bd672cb616ace06391dcb8a3a62fec8		gooroom-dockbarx,gooroom-dockbarx-common,gooroom-dockbarx-dockx	
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	rebuild-arm64	unresolved	source-blocked				gooroom-dockbarx-applet		
gooroom-greeter	0.3.1+grm3u1+han3u2	rebuild-arm64	unresolved	source-blocked				gooroom-greeter		
gooroom-guide	0.5.3+grm3u1+han3u1	rebuild-arm64	unresolved	source-blocked				gooroom-guide		
gooroom-icon-themes	1.3.6+grm3u1+han3u2	reuse-all	unresolved	not-required					gooroom-icon-themes	
gooroom-indicator-applet	0.3.0+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/gooroom-indicator-applet	cb5092080b8fbe48effd990e60084e938aa0b306	dae79af224f437e6ed12e9690b7d2a7f7f46292e	gooroom-indicator-applet		arm64/locks/rebuild-results/gooroom-indicator-applet/0.3.0+grm3u1/result.json
gooroom-info	3.3.0+grm3u1	reuse-all	exact-locked	not-required	gooroom/gooroom-info	ee417b75cfe8a442f4876591ce0ca3814f595bc2	c0d97f030de5d86080ac67ed3210eb6f80b018b7		gooroom-info	
gooroom-integration-applet	0.3.1+grm3u1+han3u3	rebuild-arm64	unresolved	source-blocked				gooroom-integration-applet		
gooroom-libsecurity-extensions	0.1.7+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/gooroom-libsecurity-extensions	4990bab95ae1dcaa29f38836da83edfa0969ed73	e1dce97d3cd69331047c01940b2593a0eaf2307a	gooroom-libsecurity-extensions		arm64/locks/rebuild-results/gooroom-libsecurity-extensions/0.1.7+grm3u1/result.json
gooroom-logout	0.3.0+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/gooroom-logout	28dcdee1a4297eaa5c3403a6b5630d3c23250379	fd614ae882300afbb5e91206547a21642a59807c	gooroom-logout		arm64/locks/rebuild-results/gooroom-logout/0.3.0+grm3u1/result.json
gooroom-notice-applet	0.3.4+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/gooroom-notice-applet	3109138327c56be9b704c3efb6b4fdb305de5dfe	1b7737d55f83af87ea607e6ae989a98368348d83	gooroom-notice-applet		arm64/locks/rebuild-results/gooroom-notice-applet/0.3.4+grm3u1/result.json
gooroom-notifyd	0.5.0+grm3u1	rebuild-arm64	exact-locked	failed	gooroom/gooroom-notifyd	c7e5fc76cc0928361f1b2cb0e69baf9e14bc0f6f	f4bc0f6f19f0ac51091eaf2abde590003447d4e7	gooroom-notifyd		arm64/locks/rebuild-results/gooroom-notifyd/0.5.0+grm3u1/result.json
gooroom-resource-access-control	1.4.9+grm3u1	reuse-all	exact-locked	not-required	gooroom/gooroom-resource-access-control	c67a5d3a3bc80ef66a81829a8e593e2fdfcabc55	e9cea2d045d86b44fd6e2205a9cbca89e4cb0c3f		grac-device-daemon,grac-editor	
