package	amd64_version	amd64_architecture	source	source_version	arm64_package	arm64_version	status	reason	selected
libbrotli1	1.0.9-2+b2	amd64	brotli	1.0.9-2	libbrotli1	1.0.9-2+b2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:52ca7f90de6cb6576a0a5cf5712fc4ae7344b79c44b8a1548087fd5d92bf1f64"", ""architecture"": ""arm64"", ""download_filename"": ""libbrotli1_1.0.9-2+b2_arm64.deb"", ""filename"": ""pool/main/b/brotli/libbrotli1_1.0.9-2+b2_arm64.deb"", ""package"": ""libbrotli1"", ""sha256"": ""52ca7f90de6cb6576a0a5cf5712fc4ae7344b79c44b8a1548087fd5d92bf1f64"", ""size"": 266964, ""source"": ""brotli"", ""source_version"": ""1.0.9-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/b/brotli/libbrotli1_1.0.9-2%2bb2_arm64.deb"", ""version"": ""1.0.9-2+b2""}"
libbs2b0	3.1.0+dfsg-2.2+b1	amd64	libbs2b	3.1.0+dfsg-2.2	libbs2b0	3.1.0+dfsg-2.2+b1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:a900464c3677b73ff7a05524db80f18af3bba1b3ae1bc950ea4a94b27d2000dc"", ""architecture"": ""arm64"", ""download_filename"": ""libbs2b0_3.1.0+dfsg-2.2+b1_arm64.deb"", ""filename"": ""pool/main/libb/libbs2b/libbs2b0_3.1.0+dfsg-2.2+b1_arm64.deb"", ""package"": ""libbs2b0"", ""sha256"": ""a900464c3677b73ff7a05524db80f18af3bba1b3ae1bc950ea4a94b27d2000dc"", ""size"": 11452, ""source"": ""libbs2b"", ""source_version"": ""3.1.0+dfsg-2.2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libb/libbs2b/libbs2b0_3.1.0%2bdfsg-2.2%2bb1_arm64.deb"", ""version"": ""3.1.0+dfsg-2.2+b1""}"
libbsd0	0.11.3-1	amd64	libbsd	0.11.3-1	libbsd0	0.11.3-1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:b6e7fa54a05e5a3a5e1ec5dceb57a470e9a0883081594aea643ca58264071e7a"", ""architecture"": ""arm64"", ""download_filename"": ""libbsd0_0.11.3-1_arm64.deb"", ""filename"": ""pool/main/libb/libbsd/libbsd0_0.11.3-1_arm64.deb"", ""package"": ""libbsd0"", ""sha256"": ""b6e7fa54a05e5a3a5e1ec5dceb57a470e9a0883081594aea643ca58264071e7a"", ""size"": 106016, ""source"": ""libbsd"", ""source_version"": ""0.11.3-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libb/libbsd/libbsd0_0.11.3-1_arm64.deb"", ""version"": ""0.11.3-1""}"
libbytesize-common	2.5-1	all	libbytesize	2.5-1	libbytesize-common	2.5-1	reuse-exact-all	exact Architecture: all binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:6a40dde4f176a23a2a6c6e231eb713d9f1de89be865d7527f780f05046762d0f"", ""architecture"": ""all"", ""download_filename"": ""libbytesize-common_2.5-1_all.deb"", ""filename"": ""pool/main/libb/libbytesize/libbytesize-common_2.5-1_all.deb"", ""package"": ""libbytesize-common"", ""sha256"": ""6a40dde4f176a23a2a6c6e231eb713d9f1de89be865d7527f780f05046762d0f"", ""size"": 6928, ""source"": ""libbytesize"", ""source_version"": ""2.5-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libb/libbytesize/libbytesize-common_2.5-1_all.deb"", ""version"": ""2.5-1""}"
libbytesize1	2.5-1	amd64	libbytesize	2.5-1	libbytesize1	2.5-1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:1b2ee02cd3a0a6691c1e6480480d22de92df634c1aed45c25c16d74117b7f97f"", ""architecture"": ""arm64"", ""download_filename"": ""libbytesize1_2.5-1_arm64.deb"", ""filename"": ""pool/main/libb/libbytesize/libbytesize1_2.5-1_arm64.deb"", ""package"": ""libbytesize1"", ""sha256"": ""1b2ee02cd3a0a6691c1e6480480d22de92df634c1aed45c25c16d74117b7f97f"", ""size"": 10924, ""source"": ""libbytesize"", ""source_version"": ""2.5-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libb/libbytesize/libbytesize1_2.5-1_arm64.deb"", ""version"": ""2.5-1""}"
libbz2-1.0	1.0.8-4	amd64	bzip2	1.0.8-4	libbz2-1.0	1.0.8-4	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:da340e8470e96445c56966f74e48a9a91dee0fa5c89876e88a4575cc17d17a97"", ""architecture"": ""arm64"", ""download_filename"": ""libbz2-1.0_1.0.8-4_arm64.deb"", ""filename"": ""pool/main/b/bzip2/libbz2-1.0_1.0.8-4_arm64.deb"", ""package"": ""libbz2-1.0"", ""sha256"": ""da340e8470e96445c56966f74e48a9a91dee0fa5c89876e88a4575cc17d17a97"", ""size"": 46504, ""source"": ""bzip2"", ""source_version"": ""1.0.8-4"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/b/bzip2/libbz2-1.0_1.0.8-4_arm64.deb"", ""version"": ""1.0.8-4""}"
libc-bin	2.31-13+deb11u6	amd64	glibc	2.31-13+deb11u6	libc-bin	2.31-13+deb11u6	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:2fde95a5f8089a1adbffdbabc40e35df2813c6579a450049b4d996ef8b6c3c85"", ""architecture"": ""arm64"", ""download_filename"": ""libc-bin_2.31-13+deb11u6_arm64.deb"", ""filename"": ""pool/main/g/glibc/libc-bin_2.31-13+deb11u6_arm64.deb"", ""package"": ""libc-bin"", ""sha256"": ""2fde95a5f8089a1adbffdbabc40e35df2813c6579a450049b4d996ef8b6c3c85"", ""size"": 740564, ""source"": ""glibc"", ""source_version"": ""2.31-13+deb11u6"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/g/glibc/libc-bin_2.31-13%2bdeb11u6_arm64.deb"", ""version"": ""2.31-13+deb11u6""}"
libc-l10n	2.31-13+deb11u6	all	glibc	2.31-13+deb11u6	libc-l10n	2.31-13+deb11u6	reuse-exact-all	exact Architecture: all binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:5b2f2b3aaffde479a4b520cf47069690c9875830ace48923ac23565647892fad"", ""architecture"": ""all"", ""download_filename"": ""libc-l10n_2.31-13+deb11u6_all.deb"", ""filename"": ""pool/main/g/glibc/libc-l10n_2.31-13+deb11u6_all.deb"", ""package"": ""libc-l10n"", ""sha256"": ""5b2f2b3aaffde479a4b520cf47069690c9875830ace48923ac23565647892fad"", ""size"": 864616, ""source"": ""glibc"", ""source_version"": ""2.31-13+deb11u6"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/g/glibc/libc-l10n_2.31-13%2bdeb11u6_all.deb"", ""version"": ""2.31-13+deb11u6""}"
libc6	2.31-13+deb11u6	amd64	glibc	2.31-13+deb11u6	libc6	2.31-13+deb11u6	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:e8c9c4134018d8e4e097bdb10dc6886ac833b9459a140b9f0d5273a550058aa0"", ""architecture"": ""arm64"", ""download_filename"": ""libc6_2.31-13+deb11u6_arm64.deb"", ""filename"": ""pool/main/g/glibc/libc6_2.31-13+deb11u6_arm64.deb"", ""package"": ""libc6"", ""sha256"": ""e8c9c4134018d8e4e097bdb10dc6886ac833b9459a140b9f0d5273a550058aa0"", ""size"": 2459984, ""source"": ""glibc"", ""source_version"": ""2.31-13+deb11u6"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/g/glibc/libc6_2.31-13%2bdeb11u6_arm64.deb"", ""version"": ""2.31-13+deb11u6""}"
libcaca0	0.99.beta19-2.2	amd64	libcaca	0.99.beta19-2.2	libcaca0	0.99.beta19-2.2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:83e458423ee3314cc9c28d91105fbd80377dbca763e9fca92f50d1b747a50cb0"", ""architecture"": ""arm64"", ""download_filename"": ""libcaca0_0.99.beta19-2.2_arm64.deb"", ""filename"": ""pool/main/libc/libcaca/libcaca0_0.99.beta19-2.2_arm64.deb"", ""package"": ""libcaca0"", ""sha256"": ""83e458423ee3314cc9c28d91105fbd80377dbca763e9fca92f50d1b747a50cb0"", ""size"": 342316, ""source"": ""libcaca"", ""source_version"": ""0.99.beta19-2.2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcaca/libcaca0_0.99.beta19-2.2_arm64.deb"", ""version"": ""0.99.beta19-2.2""}"
libcairo-gobject-perl	1.005-2+b2	amd64	libcairo-gobject-perl	1.005-2	libcairo-gobject-perl	1.005-2+b2	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:6860da99901cc2953d057e577e2742bf154c6afe674ff867c832cf8639f15c50"", ""architecture"": ""arm64"", ""download_filename"": ""libcairo-gobject-perl_1.005-2+b2_arm64.deb"", ""filename"": ""pool/main/libc/libcairo-gobject-perl/libcairo-gobject-perl_1.005-2+b2_arm64.deb"", ""package"": ""libcairo-gobject-perl"", ""sha256"": ""6860da99901cc2953d057e577e2742bf154c6afe674ff867c832cf8639f15c50"", ""size"": 12184, ""source"": ""libcairo-gobject-perl"", ""source_version"": ""1.005-2"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcairo-gobject-perl/libcairo-gobject-perl_1.005-2%2bb2_arm64.deb"", ""version"": ""1.005-2+b2""}"
libcairo-gobject2	1.16.0-5	amd64	cairo	1.16.0-5	libcairo-gobject2	1.16.0-5	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:971311ba4fa99a4611205b2f7fbb8278b3798faf3409336e6f0b0d32106f7b7b"", ""architecture"": ""arm64"", ""download_filename"": ""libcairo-gobject2_1.16.0-5_arm64.deb"", ""filename"": ""pool/main/c/cairo/libcairo-gobject2_1.16.0-5_arm64.deb"", ""package"": ""libcairo-gobject2"", ""sha256"": ""971311ba4fa99a4611205b2f7fbb8278b3798faf3409336e6f0b0d32106f7b7b"", ""size"": 125192, ""source"": ""cairo"", ""source_version"": ""1.16.0-5"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/c/cairo/libcairo-gobject2_1.16.0-5_arm64.deb"", ""version"": ""1.16.0-5""}"
libcairo-perl	1.109-1	amd64	libcairo-perl	1.109-1	libcairo-perl	1.109-1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:16fb5c876e3aeebfa07eb21004d16c7c62a83520e6c66541ac210b8e40b128c7"", ""architecture"": ""arm64"", ""download_filename"": ""libcairo-perl_1.109-1_arm64.deb"", ""filename"": ""pool/main/libc/libcairo-perl/libcairo-perl_1.109-1_arm64.deb"", ""package"": ""libcairo-perl"", ""sha256"": ""16fb5c876e3aeebfa07eb21004d16c7c62a83520e6c66541ac210b8e40b128c7"", ""size"": 95612, ""source"": ""libcairo-perl"", ""source_version"": ""1.109-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/libc/libcairo-perl/libcairo-perl_1.109-1_arm64.deb"", ""version"": ""1.109-1""}"
