reference_package	reference_version	mapping_status	source	source_version	target_package	target_version	target_architecture	custom_candidate
gnome-calculator	3.38.2-1	exact-arm64	gnome-calculator	3.38.2-1	gnome-calculator	3.38.2-1	arm64	False
gnome-control-center	1:3.38.4-1+grm3u9	rebuild-arm64	gnome-control-center	1:3.38.4-1+grm3u9	gnome-control-center	1:3.38.4-1+grm3u9	arm64	True
gnome-control-center-data	1:3.38.4-1+grm3u9	reuse-all	gnome-control-center	1:3.38.4-1+grm3u9	gnome-control-center-data	1:3.38.4-1+grm3u9	all	True
gnome-desktop3-data	3.38.5-3	reuse-all	gnome-desktop3	3.38.5-3	gnome-desktop3-data	3.38.5-3	all	False
gnome-flashback-common	3.38.0-2+grm3u2+han3u4	reuse-all	gnome-flashback	3.38.0-2+grm3u2+han3u4	gnome-flashback-common	3.38.0-2+grm3u2+han3u4	all	True
gnome-hwp-support	0.1.6-2	exact-arm64	gnome-hwp-support	0.1.6-2	gnome-hwp-support	0.1.6-2	arm64	False
gnome-icon-theme	3.12.0-3	reuse-all	gnome-icon-theme	3.12.0-3	gnome-icon-theme	3.12.0-3	all	False
gnome-keyring	3.36.0-1	exact-arm64	gnome-keyring	3.36.0-1	gnome-keyring	3.36.0-1	arm64	False
gnome-menus	3.36.0-1	exact-arm64	gnome-menus	3.36.0-1	gnome-menus	3.36.0-1	arm64	False
gnome-mpv	0.20-2+grm3u6	reuse-all	celluloid	0.20-2+grm3u6	gnome-mpv	0.20-2+grm3u6	all	True
gnome-panel	3.38.0-1+grm3u1	rebuild-arm64	gnome-panel	3.38.0-1+grm3u1	gnome-panel	3.38.0-1+grm3u1	arm64	True
gnome-panel-data	3.38.0-1+grm3u1	reuse-all	gnome-panel	3.38.0-1+grm3u1	gnome-panel-data	3.38.0-1+grm3u1	all	True
gnome-screenshot	3.38.0-1+grm3u2	rebuild-arm64	gnome-screenshot	3.38.0-1+grm3u2	gnome-screenshot	3.38.0-1+grm3u2	arm64	True
gnome-session-bin	3.38.0-4	exact-arm64	gnome-session	3.38.0-4	gnome-session-bin	3.38.0-4	arm64	False
gnome-session-canberra	0.30-7	exact-arm64	libcanberra	0.30-7	gnome-session-canberra	0.30-7	arm64	False
gnome-session-common	3.38.0-4	reuse-all	gnome-session	3.38.0-4	gnome-session-common	3.38.0-4	all	False
gnome-session-flashback	3.38.0-2+grm3u2+han3u4	reuse-all	gnome-flashback	3.38.0-2+grm3u2+han3u4	gnome-session-flashback	3.38.0-2+grm3u2+han3u4	all	True
gnome-settings-daemon	3.38.2-1+grm3u1	rebuild-arm64	gnome-settings-daemon	3.38.2-1+grm3u1	gnome-settings-daemon	3.38.2-1+grm3u1	arm64	True
gnome-settings-daemon-common	3.38.2-1+grm3u1	reuse-all	gnome-settings-daemon	3.38.2-1+grm3u1	gnome-settings-daemon-common	3.38.2-1+grm3u1	all	True
gnome-terminal	3.38.3-1	exact-arm64	gnome-terminal	3.38.3-1	gnome-terminal	3.38.3-1	arm64	False
gnome-terminal-data	3.38.3-1	reuse-all	gnome-terminal	3.38.3-1	gnome-terminal-data	3.38.3-1	all	False
gnome-themes-extra	3.28-1	exact-arm64	gnome-themes-extra	3.28-1	gnome-themes-extra	3.28-1	arm64	False
gnome-themes-extra-data	3.28-1	reuse-all	gnome-themes-extra	3.28-1	gnome-themes-extra-data	3.28-1	all	False
gnupg	2.2.27-2+deb11u2	reuse-all	gnupg2	2.2.27-2+deb11u2	gnupg	2.2.27-2+deb11u2	all	False
gnupg-l10n	2.2.27-2+deb11u2	reuse-all	gnupg2	2.2.27-2+deb11u2	gnupg-l10n	2.2.27-2+deb11u2	all	False
gnupg-utils	2.2.27-2+deb11u2	exact-arm64	gnupg2	2.2.27-2+deb11u2	gnupg-utils	2.2.27-2+deb11u2	arm64	False
gooroom-agent-service	0.4.8+grm3u1	reuse-all	gooroom-agent-service	0.4.8+grm3u1	gooroom-agent-service	0.4.8+grm3u1	all	True
gooroom-archive-keyring	20201012+grm3u1	reuse-all	gooroom-archive-keyring	20201012+grm3u1	gooroom-archive-keyring	20201012+grm3u1	all	True
gooroom-artwork-common	1.3.3+grm3u1	reuse-all	gooroom-artwork-common	1.3.3+grm3u1	gooroom-artwork-common	1.3.3+grm3u1	all	True
gooroom-artwork-gnome-flashback	0.4.4+grm3u1	reuse-all	gooroom-artwork-gnome-flashback	0.4.4+grm3u1	gooroom-artwork-gnome-flashback	0.4.4+grm3u1	all	True
