package	version	architecture	path	sha256	bytes	filename
gooroom-archive-keyring	20201012+grm3u1	all	/etc/apt/trusted.gpg.d/gooroom-archive-1.0.gpg	0d86fda6297dec5f58a555b6ccfd2130ec69fcf15a442ab71790f6812b7fec7f	2203	gooroom-archive-keyring__gooroom-archive-1.0.gpg
gooroom-archive-keyring	20201012+grm3u1	all	/etc/apt/trusted.gpg.d/gooroom-archive-3.0.gpg	07611d3562ef4aedb0afe8b442ad0c82c65f8e69a9185c2b3a871f633ed91197	1748	gooroom-archive-keyring__gooroom-archive-3.0.gpg
gooroom-archive-keyring	20201012+grm3u1	all	/etc/apt/trusted.gpg.d/gooroom-archive-2.0.gpg	fe51be864dc15e1f18dc24557374ed7eaba57ecaf326c402bce447ab86bdca52	1771	gooroom-archive-keyring__gooroom-archive-2.0.gpg
